Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
5200;388;6;0;0;0;0;.00nan;0;0
5200;732;6;77;33;3;30;.909;3600000;0
5200;734;22;64;41;6;35;.854;3600000;0
5200;1223;22;0;0;0;0;.00nan;0;0
5211;731;4;66;32;4;28;.875;3600000;0
5211;963;26;64;26;3;23;.885;3600000;0
5211;995;4;0;0;0;0;.00nan;0;0
5211;1129;26;0;0;0;0;.00nan;0;0
5287;383;19;100;48;2;46;.958;3900000;0
5287;745;15;80;32;2;30;.938;3900000;0
5287;890;15;0;0;0;0;.00nan;0;0
5287;911;19;0;0;0;0;.00nan;0;0
5508;220;21;0;0;0;0;.00nan;0;0
5508;967;25;75;38;4;34;.895;3680600;0
5508;1207;21;63;33;5;28;.848;3687150;0
5508;1234;25;0;0;0;0;.00nan;0;0
5217;108;1;86;32;2;30;.938;3600000;0
5217;951;8;0;0;0;0;.00nan;0;0
5217;1388;1;0;0;0;0;.00nan;0;0
5217;1665;8;63;41;6;35;.854;3600000;0
5188;408;29;55;34;5;29;.853;3546600;0
5188;978;7;23;9;4;5;.556;885700;0
5188;1230;7;95;25;0;25;1.000;2714300;0
5188;1231;29;0;0;0;0;.00nan;0;0
5185;127;16;0;0;0;0;.00nan;0;0
5185;188;27;93;29;1;28;.966;3600000;0
5185;206;27;0;0;0;0;.00nan;0;0
5185;983;16;72;30;3;27;.900;3510300;0
5182;72;0;87;36;3;33;.917;3600000;0
5182;354;11;65;44;6;38;.864;3145200;0
5182;674;11;53;3;0;3;1.000;454800;0
5182;2135;0;0;0;0;0;.00nan;0;0
5208;396;12;0;0;0;0;.00nan;0;0
5208;780;3;0;0;0;0;.00nan;0;0
5208;808;12;75;45;5;40;.889;3556550;0
5208;1238;3;94;45;4;41;.911;3600000;0
5183;6;31;54;31;5;26;.839;3600000;0
5183;106;17;0;0;0;0;.00nan;0;0
5183;668;31;0;0;0;0;.00nan;0;0
5183;695;17;90;34;2;32;.941;3600000;0
5184;385;10;14;5;4;1;.200;817550;0
5184;774;20;0;0;0;0;.00nan;0;0
5184;869;20;73;19;1;18;.947;3600000;0
5184;1001;10;48;18;3;15;.833;2782450;0
5240;396;12;0;0;0;0;.00nan;0;0
5240;774;20;73;38;4;34;.895;3600000;0
5240;808;12;72;29;3;26;.897;3600000;0
5240;869;20;0;0;0;0;.00nan;0;0
5237;72;0;96;20;0;20;1.000;3600000;0
5237;274;18;0;0;0;0;.00nan;0;0
5237;748;18;94;44;2;42;.955;3533500;0
5237;2135;0;0;0;0;0;.00nan;0;0
5212;108;1;0;0;0;0;.00nan;0;0
5212;220;21;48;5;1;4;.800;926700;0
5212;1207;21;34;27;6;21;.778;2673300;0
5212;1388;1;82;33;3;30;.909;3600000;0
5192;106;17;62;14;1;13;.929;1598400;0
5192;383;19;0;0;0;0;.00nan;0;0
5192;695;17;32;20;5;15;.750;2001600;0
5192;911;19;66;27;3;24;.889;3600000;0
5186;731;4;70;35;4;31;.886;3549900;0
5186;734;22;72;30;3;27;.900;3600000;0
5186;995;4;0;0;0;0;.00nan;0;0
5186;1223;22;0;0;0;0;.00nan;0;0
5187;6;31;68;29;3;26;.897;3900000;0
5187;188;27;83;35;3;32;.914;3900000;0
5187;206;27;0;0;0;0;.00nan;0;0
5187;668;31;0;0;0;0;.00nan;0;0
5193;801;9;18;24;7;17;.708;2001900;0
5193;978;7;0;0;0;0;.00nan;0;0
5193;999;9;70;11;0;11;1.000;1598100;0
5193;1230;7;96;17;0;17;1.000;3600000;0
5189;127;16;0;0;0;0;.00nan;0;0
5189;780;3;0;0;0;0;.00nan;0;0
5189;983;16;53;33;5;28;.848;3600000;0
5189;1238;3;79;21;1;20;.952;3600000;0
5610;354;11;0;0;0;0;.00nan;0;0
5610;385;10;79;34;3;31;.912;3569750;0
5610;674;11;86;31;2;29;.935;3600000;0
5610;1001;10;0;0;0;0;.00nan;0;0
5181;963;26;98;47;3;44;.936;3600000;0
5181;967;25;94;19;0;19;1.000;3600000;0
5181;1129;26;0;0;0;0;.00nan;0;0
5181;1234;25;0;0;0;0;.00nan;0;0
5224;801;9;0;0;0;0;.00nan;0;0
5224;951;8;98;41;1;40;.976;3600000;0
5224;999;9;100;36;0;36;1.000;3600000;0
5224;1665;8;0;0;0;0;.00nan;0;0
5228;408;29;75;39;4;35;.897;3538250;0
5228;745;15;0;0;0;0;.00nan;0;0
5228;890;15;86;31;2;29;.935;3600000;0
5228;1231;29;0;0;0;0;.00nan;0;0
5197;274;18;0;0;0;0;.00nan;0;0
5197;388;6;21;21;6;15;.714;3600000;0
5197;732;6;0;0;0;0;.00nan;0;0
5197;748;18;88;26;1;25;.962;3600000;0
6121;127;16;84;25;1;24;.960;3600000;0
6121;734;22;0;0;0;0;.00nan;0;0
6121;983;16;0;0;0;0;.00nan;0;0
6121;1223;22;32;30;7;23;.767;3600000;0
5199;72;0;58;31;5;26;.839;3600000;0
5199;188;27;81;29;2;27;.931;3600000;0
5199;206;27;0;0;0;0;.00nan;0;0
5199;2135;0;0;0;0;0;.00nan;0;0
5255;780;3;54;30;5;25;.833;3574100;0
5255;963;26;0;0;0;0;.00nan;0;0
5255;1129;26;64;26;3;23;.885;3600000;0
5255;1238;3;0;0;0;0;.00nan;0;0
5209;6;31;0;0;0;0;.00nan;0;0
5209;385;10;52;32;5;27;.844;3600000;0
5209;668;31;81;29;2;27;.931;3600000;0
5209;1001;10;0;0;0;0;.00nan;0;0
6125;106;17;0;0;0;0;.00nan;0;0
