Game Id;Period;Time;Player;TeamId;Penalty;Minutes
5200;2;616;284;22;Hooking;2
5200;2;927;38;22;High Sticking;2
5200;3;1140;857;22;Tripping;2
5211;1;746;1587;26;Slashing;2
5211;2;826;727;4;Bench;0
5211;2;830;1455;4;Tripping;2
5211;3;24;924;26;Holding;2
5211;3;282;786;26;Roughing;2
5211;3;282;656;4;Roughing;2
5211;3;1038;1280;26;Holding;2
5211;3;1120;358;4;Tripping;2
5287;1;739;381;19;Holding;2
5287;1;971;940;19;Interference;2
5287;1;984;285;15;Holding;2
5287;OT1;261;134;19;Holding;2
5508;1;103;446;21;Unsportsmanlike Conduct;2
5508;1;122;717;25;Roughing;2
5508;1;647;593;25;Slashing;2
5508;2;1173;26;25;Tripping;2
5508;2;1173;1299;21;High Sticking;2
5508;3;459;1029;21;Hooking;2
5217;1;543;9;8;Holding;2
5217;2;205;1214;1;Hooking;2
5217;2;804;977;1;Tripping;2
5217;3;217;1214;1;Tripping;2
5188;1;388;1642;7;Holding;2
5188;1;755;1753;7;Cross-Checking;2
5188;2;385;302;29;Tripping;2
5188;2;734;445;29;Slashing;2
5188;2;775;119;7;Hooking;2
5188;2;925;441;29;Tripping;2
5185;1;204;135;27;Roughing;2
5185;2;122;94;16;Hooking;2
5185;2;888;94;16;Hooking;2
5182;1;935;1059;11;Interference;2
5182;1;1098;98;0;Unsportsmanlike Conduct;2
5182;2;359;271;0;Hooking;2
5182;2;704;628;11;Slashing;2
5182;2;1121;355;11;Bench;0
5182;2;1166;271;0;Hooking;2
5182;3;567;163;11;Bench;0
5182;3;875;109;0;High Sticking;2
5208;1;234;280;3;Tripping;2
5208;1;453;151;12;Holding;2
5208;1;551;1046;12;Tripping;2
5208;1;551;413;3;Roughing;2
5208;1;664;843;12;Bench;0
5208;3;140;889;3;Holding;2
5208;3;161;682;3;Unsportsmanlike Conduct;2
5208;3;502;152;12;Bench;0
5208;3;765;1566;3;Tripping;2
5183;1;345;1246;31;High Sticking;2
5183;1;1011;1448;31;Holding;2
5183;2;466;57;31;Hooking;2
5183;3;223;240;17;Unsportsmanlike Conduct;2
5183;3;931;1998;31;High Sticking;2
5183;3;944;1042;17;Slashing;2
5184;1;536;611;10;Roughing;2
5184;1;968;1170;10;Holding;2
5184;3;399;125;10;Interference;2
5240;1;214;901;20;Hooking;2
5240;1;700;1387;12;Tripping;2
5240;3;141;286;20;Slashing;2
5240;3;589;1303;20;Holding;2
5240;3;656;1584;12;Hooking;2
5240;3;656;901;20;High Sticking;2
5240;3;709;215;20;Tripping;2
5237;2;189;1171;0;Interference;2
5237;2;189;373;18;Slashing;2
5237;2;1063;685;18;Holding;2
5237;3;765;56;18;Roughing;2
5237;3;765;271;0;Roughing;2
5212;1;130;884;1;Tripping;2
5212;1;473;446;21;Holding;2
5212;1;622;884;1;Holding;2
5212;1;765;1185;1;Slashing;2
5212;1;885;364;1;Roughing;2
5212;1;885;921;21;Roughing;2
5212;1;928;1194;21;High Sticking;2
5212;1;1090;977;1;Slashing;2
5212;1;1090;1304;21;Slashing;2
5212;2;440;1083;1;Tripping;2
5212;2;642;873;1;Tripping;2
5212;2;676;757;21;Hooking;2
5212;2;676;1185;1;Slashing;2
5212;2;910;1127;21;Tripping;2
