Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
5200;1;265;857;996;870;22;ES;3
5200;1;818;1078;928;143;6;ES;3
5200;1;1196;25;1024;143;6;ES;3
5200;2;653;1078;291;438;6;PP;3
5200;2;989;1078;291;143;6;PP;4
5200;3;507;143;1078;928;6;ES;3
5200;3;861;870;857;996;22;ES;3
5200;3;1117;25;1024;941;6;ES;4
5200;3;1197;284;;;22;SH;2
5211;1;21;1093;727;;4;ES;4
5211;1;230;1587;214;54;26;ES;4
5211;1;554;786;752;217;26;ES;2
5211;2;32;70;1455;1092;4;ES;3
5211;2;640;221;1280;822;26;ES;3
5211;2;1199;822;1280;221;26;ES;2
5211;3;87;70;358;1175;4;PP;3
5287;1;67;848;285;836;15;ES;2
5287;1;88;1225;1468;443;19;ES;4
5287;1;137;1225;1468;443;19;ES;3
5287;1;808;949;910;285;15;PP;2
5508;1;173;1237;1300;1095;21;ES;4
5508;2;242;1233;921;1299;21;ES;2
5508;2;1024;1300;921;1127;21;ES;3
5508;3;123;26;295;894;25;ES;1
5508;3;157;1095;1233;1300;21;ES;1
5508;3;476;826;1308;894;25;PP;3
5508;3;821;912;894;826;25;ES;1
5508;3;1169;1356;998;1308;25;ES;2
5508;OT1;87;295;894;1308;25;ES;3
5217;1;525;88;873;440;1;ES;2
5217;1;789;1140;874;145;8;ES;3
5217;1;953;873;88;888;1;ES;2
5217;1;972;884;249;297;1;ES;1
5217;2;92;888;873;1214;1;ES;1
5217;2;545;249;430;1185;1;ES;3
5217;2;1190;1140;1568;117;8;ES;2
5217;3;1200;977;884;;1;ES;4
5188;1;82;816;811;705;29;ES;3
5188;1;286;964;705;816;29;ES;1
5188;1;419;705;156;964;29;PP;2
5188;1;886;684;705;441;29;ES;1
5188;2;496;1063;23;875;7;PP;3
5188;2;651;1860;1482;754;7;ES;2
5188;3;813;23;1343;1642;7;ES;1
5188;3;1022;1054;1413;1577;7;ES;3
5188;3;1047;1413;119;1577;7;ES;3
5188;3;1197;1054;23;1413;7;ES, ENG;1
5185;1;986;788;258;1;27;ES;4
5185;2;201;840;258;1326;27;PP;1
5185;2;280;562;886;1128;27;ES;2
5185;3;266;953;883;;16;ES;2
5182;1;250;253;;;0;ES;4
5182;1;949;1062;1018;271;0;PP;1
5182;2;421;1059;115;1055;11;PP;4
5182;2;598;971;1191;;11;ES;4
5182;2;728;1062;1018;253;0;PP;1
5182;2;865;878;115;1055;11;ES;2
5182;3;134;254;1377;253;0;ES;2
5182;3;714;1171;1377;254;0;ES;2
5182;3;746;1377;254;1171;0;ES;1
5208;1;168;1387;18;1098;12;ES;2
5208;1;208;1164;55;636;3;ES;1
5208;1;528;651;872;1174;3;PP;4
5208;1;756;1164;889;413;3;PP;1
5208;2;362;1046;1309;151;12;ES;3
5208;2;628;1309;1262;170;12;ES;4
5208;2;986;55;1174;280;3;ES;3
5208;3;626;1174;810;651;3;ES;3
5208;3;647;1046;18;89;12;ES;2
5183;1;228;57;1448;;31;ES;3
5183;1;287;338;1179;19;17;ES;1
5183;1;1188;742;86;1448;31;ES;3
5183;2;228;305;988;457;17;ES;3
5183;2;730;1050;147;433;17;ES;2
5183;2;743;147;1050;1051;17;ES;2
5183;2;1076;1074;147;1051;17;ES;2
5184;1;40;1075;286;1852;20;ES;3
5184;1;384;845;827;901;20;ES;2
5184;1;547;730;1852;1075;20;PP;2
5184;1;818;957;901;1852;20;ES;2
5184;2;383;1075;;;20;ES;3
5184;2;896;1075;974;1852;20;ES;2
5184;2;1056;53;957;1303;20;ES;2
5184;3;195;1819;125;529;10;ES;2
5240;1;267;233;1584;1262;12;PP;3
5240;1;994;53;112;286;20;ES;3
5240;2;82;233;234;346;12;ES;3
5240;2;1001;730;1075;699;20;ES;3
5240;3;181;233;1262;1584;12;PP;3
5240;3;360;974;286;901;20;ES;1
5240;3;822;152;;;12;ES;4
5237;1;542;1196;415;;0;ES;3
5237;3;1037;253;1062;98;0;ES;4
5237;3;1190;1275;306;98;0;ES, ENG;2
5212;1;520;88;249;;1;PP;2
5212;1;632;757;446;1237;21;PP;3
