Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type;SQ0 Home;SQ1 Home;SQ2 Home;SQ3 Home;SQ4 Home;SQ0 Away;SQ1 Away;SQ2 Away;SQ3 Away;SQ4 Away
5200;2024;10;4;Crypto.com Arena;18867;6;22;6;3;2;2;2;0;0;1;0;2;0;0;1078;143;1024;59;44;0;6;17;13;7;9;12;14;28;17;12;17;12;0;11;14;8;0;2;3;0;0;Regular Season;4;28;11;10;6;6;16;7;8;7
5211;2024;10;4;Canada Life Centre;14168;26;4;4;3;2;2;0;0;0;1;1;1;0;0;1280;70;822;49;46;8;6;21;17;8;7;13;5;29;26;7;16;9;0;10;7;9;0;0;4;1;4;Regular Season;4;22;13;6;4;7;12;13;9;5
5287;2024;10;4;Prudential Center;16230;15;19;2;3;2;0;0;0;0;2;0;0;0;1;1468;285;383;62;49;2;6;23;26;11;10;7;7;36;26;13;14;9;12;8;6;14;4;1;3;0;1;Regular Season;10;24;23;5;2;8;18;8;9;8
5508;2024;10;4;Bridgestone Arena;16569;25;21;5;4;0;0;4;1;0;1;2;1;0;0;894;1300;1308;49;50;6;6;28;19;8;5;11;11;28;32;8;9;14;2;14;13;9;2;1;3;0;3;Regular Season;7;21;14;5;2;6;13;16;9;6
5217;2024;10;4;Scotiabank Arena;19723;1;8;6;2;3;2;1;0;0;1;1;0;0;0;873;88;249;58;47;6;2;33;15;10;14;7;10;16;22;10;17;14;0;16;8;8;0;0;1;0;3;Regular Season;6;19;14;7;12;10;15;12;8;2
5188;2024;10;4;T-Mobile Arena;17500;29;7;4;6;4;0;0;0;0;0;2;4;0;0;1413;705;23;57;49;6;6;22;17;7;12;9;9;32;21;10;19;5;0;4;12;19;0;1;3;1;3;Regular Season;11;23;17;5;1;6;17;14;8;4
5185;2024;10;4;Nationwide Arena;18576;27;16;3;1;1;2;0;0;0;0;0;1;0;0;258;883;562;47;44;2;4;22;16;9;5;12;5;20;20;11;13;6;0;9;5;15;0;1;2;0;1;Regular Season;4;18;16;3;6;4;19;13;5;3
5182;2024;10;4;Bell Centre;21273;0;11;6;3;2;1;3;0;0;0;3;0;0;0;254;1377;253;57;53;8;4;24;24;9;9;14;10;31;20;16;15;16;0;13;15;8;0;2;4;1;4;Regular Season;4;22;18;8;5;7;19;10;6;11
5208;2024;10;4;Rogers Arena;18910;12;3;4;5;1;2;1;0;0;3;1;1;0;0;1174;1046;55;60;57;4;10;34;24;7;8;15;16;29;26;13;15;17;0;13;20;12;0;0;5;2;4;Regular Season;6;20;19;9;6;4;19;12;11;11
5183;2024;10;4;Rogers Place;18641;17;31;5;2;1;4;0;0;0;2;0;0;0;0;147;1050;1051;49;59;4;8;11;10;8;8;9;14;27;22;12;16;3;0;15;12;7;0;0;4;0;2;Regular Season;6;19;17;4;3;7;20;11;11;10
