PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
6;2024;31;0;5;4;15155;1;2;1;0;0;19;155;63
72;2024;0;0;5;5;16326;1;3;1;1;0;21;168;67
75;2024;7;9999;5;5;10111;2;0;0;0;0;37;39;1
93;2024;27;9999;5;0;6382;1;0;0;0;0;30;34;3
101;2024;32;1;1;0;2764;0;0;0;0;0;3;28;65
102;2024;59;1;1;1;3547;0;1;0;1;0;4;26;53
106;2024;17;0;3;3;10653;0;3;0;0;0;12;82;57
108;2024;1;0;3;3;10800;2;1;0;0;1;6;89;78
127;2024;61;1;1;1;3900;1;0;0;0;0;4;33;68
132;2024;31;9999;5;0;10601;2;0;0;0;0;33;40;2
157;2024;52;1;1;1;3900;0;0;1;0;0;4;53;93
188;2024;27;0;4;4;14362;1;2;1;0;0;15;147;77
195;2024;60;1;1;1;3900;1;0;0;0;0;2;28;84
206;2024;62;1;0;0;0;0;0;0;0;0;0;0;0
220;2024;21;0;3;2;8589;1;1;0;0;0;11;91;63
230;2024;44;1;1;1;3600;1;0;0;0;0;2;36;94
263;2024;12;0;3;2;10458;1;1;0;0;0;7;103;82
268;2024;54;1;0;0;0;0;0;0;0;0;0;0;0
274;2024;18;0;4;4;14400;2;2;0;0;0;15;120;63
319;2024;12;9999;5;0;8133;0;1;0;0;0;30;34;1
326;2024;15;9999;5;0;8401;2;2;0;0;0;38;42;1
326;2024;15;0;5;4;15017;3;1;0;0;0;18;136;62
330;2024;10;0;3;3;10992;2;1;0;0;0;11;97;73
331;2024;36;1;1;1;3600;1;0;0;0;0;2;23;71
354;2024;11;0;4;4;12611;2;1;1;0;0;17;99;51
383;2024;19;0;5;4;12478;0;4;0;0;0;15;132;62
385;2024;10;0;4;4;14400;3;1;0;0;0;13;141;79
386;2024;10;9999;5;0;7801;1;2;0;2;0;31;37;5
388;2024;6;9999;5;5;9198;1;1;0;0;0;40;48;5
388;2024;6;0;3;3;10719;2;1;0;0;0;12;117;78
396;2024;45;1;0;0;0;0;0;0;0;0;0;0;0
408;2024;29;0;4;4;14400;3;1;0;0;0;18;154;73
442;2024;55;1;1;1;3527;0;1;0;0;0;4;26;52
475;2024;31;9999;5;5;7398;3;0;0;0;0;33;35;3
475;2024;31;0;4;3;10685;0;2;1;1;0;12;139;74
494;2024;53;1;0;0;0;0;0;0;0;0;0;0;0
501;2024;49;1;0;0;0;0;0;0;0;0;0;0;0
532;2024;35;1;1;1;3579;0;1;0;1;0;1;29;91
543;2024;43;1;1;1;3858;1;0;0;0;0;4;39;91
546;2024;3;9999;5;0;10611;0;2;0;0;0;41;44;1
546;2024;3;0;3;3;10769;1;2;0;0;1;11;109;72
575;2024;63;1;1;1;3600;0;1;0;0;0;3;43;93
575;2024;10;9999;5;5;10105;0;2;0;0;0;47;54;1
635;2024;61;1;0;0;0;0;0;0;0;0;0;0;0
640;2024;21;9999;5;5;9013;3;0;0;0;0;32;34;6
664;2024;41;1;1;1;3600;1;0;0;0;0;3;38;85
668;2024;40;1;0;0;0;0;0;0;0;0;0;0;0
673;2024;41;1;0;0;0;0;0;0;0;0;0;0;0
673;2024;16;9999;5;5;11367;3;0;0;0;0;41;46;1
674;2024;11;9999;5;5;14120;2;3;0;0;0;43;45;1
674;2024;11;0;4;3;12855;0;2;1;2;0;10;117;75
695;2024;17;0;4;4;14421;3;1;0;1;0;14;130;71
697;2024;39;1;1;1;3804;1;0;0;0;0;3;33;82
703;2024;52;1;0;0;0;0;0;0;0;0;0;0;0
712;2024;29;9999;5;5;8099;1;1;0;0;0;32;33;1
712;2024;29;0;3;3;10908;2;1;0;1;0;10;96;73
713;2024;57;1;1;1;3600;0;1;0;0;0;3;41;88
731;2024;4;0;4;4;14310;1;3;0;4;0;12;171;92
732;2024;6;9999;5;0;8796;1;2;0;0;0;35;37;3
732;2024;6;0;4;4;14400;4;0;0;0;0;11;137;83
734;2024;22;0;5;4;17385;2;2;0;0;0;16;143;67
745;2024;15;9999;5;5;9551;0;1;0;0;0;48;50;1
745;2024;15;0;4;3;10482;2;1;0;0;0;16;91;47
748;2024;18;0;3;3;11070;2;1;0;0;0;7;106;90
774;2024;20;9999;5;5;6305;0;3;0;0;0;32;36;6
774;2024;20;0;3;3;10778;2;1;0;1;0;8;106;86
780;2024;3;0;4;4;14444;4;0;0;1;1;8;96;74
780;2024;3;9999;5;5;7388;1;2;0;0;0;36;37;1
801;2024;9;0;0;0;0;0;0;0;0;0;0;0;0
808;2024;12;0;5;5;14741;2;3;0;0;1;11;120;73
860;2024;60;1;0;0;0;0;0;0;0;0;0;0;0
866;2024;8;9999;5;0;8090;0;1;0;0;0;36;39;4
866;2024;8;0;4;4;9373;1;3;0;0;0;21;101;38
869;2024;56;1;1;1;3600;1;0;0;0;1;0;36;100
890;2024;51;1;1;1;3600;1;0;0;0;0;3;27;66
911;2024;27;0;3;3;10800;2;1;0;0;0;10;125;81
951;2024;53;1;1;1;3541;0;1;0;0;0;2;23;69
963;2024;26;0;6;5;16657;1;4;0;0;0;29;199;56
967;2024;50;1;1;1;3900;0;0;1;0;0;2;49;97
978;2024;7;0;4;4;14400;4;0;0;0;1;3;102;91
983;2024;16;0;3;3;10719;1;2;0;2;0;7;100;77
995;2024;42;1;1;1;3600;1;0;0;0;0;5;24;40
999;2024;9;0;7;7;25327;2;4;1;1;0;26;217;66
1001;2024;54;1;1;1;3600;1;0;0;0;0;1;20;77
1058;2024;48;1;0;0;0;0;0;0;0;0;0;0;0
1068;2024;58;1;0;0;0;0;0;0;0;0;0;0;0
1129;2024;33;1;1;1;3600;1;0;0;0;0;2;49;99
1155;2024;48;1;1;1;3519;0;1;0;0;0;4;29;56
1189;2024;34;1;1;1;3884;0;0;1;0;0;4;44;82
1202;2024;49;1;1;1;3600;0;1;0;0;0;4;23;46
1207;2024;21;0;5;5;16525;3;2;0;0;1;12;140;76
1223;2024;22;0;3;3;7654;2;1;0;0;0;9;79;68
1223;2024;22;9999;5;5;7879;2;1;0;0;0;35;41;4
1230;2024;7;0;3;3;10776;2;1;0;1;0;9;96;75
1234;2024;25;9999;5;5;10563;0;1;0;1;0;43;44;1
1234;2024;25;0;3;3;10800;2;1;0;0;0;11;104;73
1238;2024;38;1;1;1;3600;0;1;0;0;0;4;35;71
1333;2024;58;1;1;1;3600;1;0;0;0;1;0;27;100
1362;2024;16;9999;5;0;6676;1;1;0;0;0;27;29;8
1362;2024;16;0;4;4;14400;2;2;0;0;0;17;153;73
1364;2024;47;1;1;1;3804;0;0;1;0;0;4;32;66
1388;2024;1;9999;5;5;10306;1;1;0;0;0;42;44;3
1388;2024;1;0;4;4;14376;3;1;0;1;1;12;135;78
1435;2024;1;9999;5;0;7929;1;1;1;0;0;36;37;1
1462;2024;4;9999;4;0;4945;0;1;0;0;0;27;28;2
1534;2024;63;1;0;0;0;0;0;0;0;0;0;0;0
1578;2024;26;9999;5;0;9456;2;0;0;0;0;36;39;5
1665;2024;8;9999;5;5;9926;2;2;0;1;0;44;50;1
1665;2024;8;0;6;3;15771;2;1;0;1;0;16;181;72
1687;2024;4;9999;5;5;13015;3;1;0;0;0;41;46;1
1687;2024;4;0;3;3;10791;2;1;0;0;0;8;78;68
1693;2024;20;9999;5;0;11694;1;1;0;0;0;37;43;2
1693;2024;20;0;4;4;14700;3;0;1;0;1;9;135;87
1729;2024;17;9999;5;0;10804;3;1;0;0;0;31;33;1
1748;2024;57;1;0;0;0;0;0;0;0;0;0;0;0
1748;2024;12;9999;5;5;9748;1;2;1;0;0;41;47;1
1758;2024;29;9999;5;0;10137;1;2;0;0;0;41;43;1
1773;2024;18;9999;5;0;5689;0;0;0;0;0;26;29;9
1923;2024;21;9999;5;0;9014;1;1;0;0;0;35;38;8
1948;2024;9;9999;5;0;7986;2;0;0;0;0;22;24;15
2007;2024;7;9999;5;0;7837;2;1;0;0;0;33;36;3
2013;2024;19;9999;5;0;7060;2;1;0;0;0;32;33;5
2026;2024;25;9999;5;0;7368;0;4;0;1;0;36;41;1
2026;2024;25;0;4;4;14354;2;2;0;1;0;16;131;67
2031;2024;26;0;5;2;8542;0;2;0;0;0;14;86;50
2031;2024;26;9999;5;5;8785;1;1;1;1;0;37;43;6
2052;2024;19;9999;5;5;10939;0;2;0;0;0;37;38;1
2052;2024;19;0;4;3;12721;0;2;1;1;0;19;169;70
2076;2024;55;1;0;0;0;0;0;0;0;0;0;0;0
2076;2024;9;9999;5;5;10013;3;0;0;0;0;36;41;4
2097;2024;18;9999;5;5;12342;3;1;1;0;0;46;51;1
2099;2024;11;9999;4;0;3879;0;0;0;0;0;22;25;9
2117;2024;27;9999;5;5;11572;2;2;0;1;0;40;45;1
2135;2024;0;9999;5;5;9710;0;0;0;0;0;48;50;1
2142;2024;0;9999;5;0;8889;2;3;0;0;0;39;41;2
2142;2024;0;0;3;2;8830;1;1;0;0;0;14;86;53
2157;2024;33;1;0;0;0;0;0;0;0;0;0;0;0
2176;2024;35;1;0;0;0;0;0;0;0;0;0;0;0
2179;2024;42;1;0;0;0;0;0;0;0;0;0;0;0
2204;2024;45;1;1;1;3566;0;1;0;1;0;6;44;62
2211;2024;59;1;0;0;0;0;0;0;0;0;0;0;0
