PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
6;2024;31;0;13;13;44516;3;6;3;2;1;57;452;67
29;2024;37;1;8;8;29281;3;4;1;1;0;21;216;67
72;2024;0;0;17;16;59656;9;5;2;4;1;57;565;75
101;2024;32;1;12;11;38169;5;6;0;0;1;38;288;57
102;2024;59;1;12;11;39555;4;7;0;1;0;38;321;60
106;2024;17;0;7;5;22110;5;0;0;0;1;17;189;73
108;2024;1;0;5;4;15399;4;0;0;0;0;12;133;71
127;2024;61;1;3;3;10688;0;3;0;1;0;11;117;79
127;2024;16;0;10;10;36144;6;3;1;0;0;29;283;70
157;2024;52;1;12;12;41545;3;7;2;0;1;37;388;67
188;2024;27;0;14;14;50923;10;3;1;1;0;38;458;78
193;2024;45;1;10;9;35771;3;5;1;1;0;30;331;70
195;2024;60;1;12;12;43377;10;2;0;1;3;17;335;82
206;2024;62;1;3;3;10738;2;1;0;1;0;6;98;87
206;2024;27;0;5;5;18291;3;1;1;0;0;16;149;72
220;2024;21;0;8;4;19367;4;1;0;0;0;17;174;66
230;2024;44;1;8;7;23341;5;2;0;1;0;21;159;54
235;2024;61;1;11;11;40159;4;4;3;1;1;28;366;75
263;2024;57;1;11;11;40095;7;3;1;1;1;22;272;71
268;2024;54;1;6;6;22500;4;0;2;0;0;15;161;65
274;2024;18;0;7;6;22271;4;1;1;0;0;23;174;59
326;2024;51;1;8;6;25698;2;4;0;0;0;24;247;68
330;2024;54;1;10;10;35859;6;4;0;1;1;23;327;78
331;2024;36;1;15;15;52515;7;6;2;0;2;35;380;70
354;2024;11;0;10;9;28508;4;5;0;0;0;43;306;57
383;2024;19;0;11;10;36557;7;3;0;0;0;31;332;72
385;2024;10;0;17;15;51381;5;9;1;1;1;52;469;66
388;2024;6;0;12;10;34849;5;5;1;0;0;38;300;62
396;2024;45;1;2;2;7200;2;0;0;0;0;4;53;78
396;2024;12;0;9;8;28779;3;6;0;0;0;33;308;66
408;2024;29;0;14;11;44933;3;7;1;2;0;52;413;63
424;2024;44;1;8;8;29143;3;4;1;0;1;21;238;69
442;2024;55;1;11;10;34806;4;4;2;0;1;32;292;64
475;2024;40;1;9;9;32914;5;3;1;0;0;29;228;58
494;2024;53;1;9;9;32625;6;2;1;0;0;20;237;73
501;2024;49;1;12;12;43645;8;4;0;1;2;27;375;77
532;2024;35;1;15;15;54107;11;3;1;1;2;28;401;75
543;2024;43;1;9;9;32261;3;5;1;1;0;34;300;69
546;2024;38;1;9;9;32434;1;7;1;2;0;35;250;55
575;2024;63;1;11;10;36510;4;5;1;0;0;35;355;70
635;2024;61;1;8;8;29506;4;2;2;1;0;21;264;77
657;2024;32;1;6;5;20483;2;2;1;1;0;15;158;69
664;2024;41;1;12;12;43754;6;5;1;1;0;38;409;74
668;2024;40;1;3;3;10773;2;1;0;1;0;5;76;77
668;2024;31;0;9;6;24789;3;3;1;3;0;22;250;72
673;2024;41;1;6;6;22084;2;3;1;0;0;22;210;71
674;2024;11;0;16;11;43904;5;6;0;2;0;52;407;60
695;2024;17;0;16;16;53403;10;6;0;1;1;41;419;70
697;2024;39;1;3;3;9517;2;1;0;0;0;10;113;80
698;2024;46;1;7;7;25440;3;4;0;1;1;16;214;76
703;2024;52;1;6;5;20389;5;0;0;0;1;8;138;78
712;2024;44;1;3;3;10962;0;2;1;0;0;10;67;54
713;2024;57;1;8;8;29647;6;2;0;0;2;16;245;79
731;2024;4;0;14;13;47502;7;6;0;0;1;49;427;68
732;2024;6;0;11;9;34043;5;2;1;1;2;34;327;73
734;2024;22;0;15;14;50812;6;7;1;1;0;59;472;65
745;2024;15;0;10;8;32886;2;4;3;1;0;38;330;68
748;2024;18;0;15;15;53893;11;4;0;1;2;42;473;75
774;2024;20;0;10;10;35485;6;4;0;0;1;35;295;66
780;2024;3;0;6;5;19442;3;2;0;0;0;20;159;63
801;2024;9;0;7;7;23474;3;4;0;1;0;21;208;71
808;2024;12;0;18;15;53971;6;7;1;1;1;53;594;74
830;2024;47;1;9;9;29340;2;6;1;1;0;31;273;63
860;2024;60;1;5;5;18000;5;0;0;0;2;6;139;82
866;2024;53;1;8;8;28947;6;2;0;0;1;12;228;84
869;2024;56;1;4;4;14303;0;4;0;2;0;16;140;72
869;2024;20;0;12;11;40257;7;4;0;0;0;27;291;69
890;2024;51;1;3;3;10770;0;3;0;1;0;12;108;71
890;2024;15;0;15;14;47770;5;7;1;0;0;55;505;69
911;2024;19;0;11;10;36177;6;3;1;1;0;34;316;67
951;2024;8;0;13;13;44597;3;8;1;1;0;53;475;69
951;2024;53;1;2;2;7182;0;2;0;0;0;7;68;72
963;2024;26;0;13;12;44383;6;4;2;2;0;44;415;69
967;2024;50;1;4;4;14400;2;2;0;0;1;10;134;82
967;2024;25;0;18;16;61766;10;6;0;2;3;55;479;67
978;2024;7;0;9;8;29341;3;4;0;0;0;37;290;62
983;2024;16;0;12;12;43939;7;3;2;0;0;37;361;72
995;2024;4;0;9;8;28244;1;6;1;1;0;33;284;68
995;2024;42;1;3;3;11100;2;0;1;0;0;4;73;79
999;2024;9;0;16;15;56038;8;7;0;1;1;48;494;73
1001;2024;10;0;6;4;17136;0;4;0;2;0;22;142;52
1001;2024;54;1;4;4;14877;1;2;1;0;0;10;126;75
1058;2024;48;1;10;9;33384;4;5;0;0;1;29;295;70
1068;2024;58;1;9;8;30855;2;4;2;2;1;22;228;71
1082;2024;51;1;7;7;23760;1;6;0;1;0;24;251;71
1129;2024;33;1;3;3;10758;1;2;0;1;1;8;126;86
1129;2024;26;0;9;9;31493;6;3;0;1;0;27;260;69
1155;2024;48;1;11;11;39296;4;7;0;0;1;30;321;70
1189;2024;34;1;15;15;54089;11;4;0;1;1;40;438;68
1202;2024;49;1;7;7;25475;5;2;0;0;0;22;226;72
1207;2024;21;0;16;16;53226;4;9;2;2;0;72;510;60
1223;2024;22;0;9;8;28773;3;5;0;0;0;34;270;64
1230;2024;7;0;13;12;43159;7;4;2;1;1;35;390;77
1231;2024;29;0;7;7;19893;2;5;0;1;1;25;197;62
1234;2024;25;0;5;5;14219;2;3;0;0;0;21;122;49
1238;2024;3;0;16;16;56189;9;6;1;0;1;49;477;71
1238;2024;38;1;3;2;8194;2;0;0;0;0;5;69;75
1251;2024;33;1;10;9;34400;5;3;1;0;0;22;327;76
1333;2024;58;1;10;10;34930;6;3;1;0;1;21;308;80
1364;2024;47;1;5;5;17421;3;2;0;0;0;15;149;68
1388;2024;1;0;17;17;60198;11;5;1;2;2;49;525;75
1461;2024;39;1;9;9;32351;6;2;1;0;1;25;270;68
1534;2024;63;1;11;9;32601;5;3;1;0;0;27;323;72
1665;2024;8;0;9;7;27538;3;4;1;1;1;31;284;70
1687;2024;42;1;8;8;25540;4;4;0;0;1;21;223;67
1693;2024;56;1;8;8;28896;5;3;0;0;1;21;233;70
1729;2024;43;1;9;8;29167;2;5;1;1;1;22;232;72
1747;2024;45;1;5;5;15072;2;3;0;0;0;19;139;52
1748;2024;57;1;2;2;7223;0;1;1;1;0;7;54;61
