PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
6;31;31;5;4;252;1;2;1;155;136;19;4.51;0;.877;63
72;0;0;5;5;272;1;3;1;168;147;21;4.63;0;.875;67
101;32;22;1;0;46;0;0;0;28;25;3;3.91;0;.893;65
102;59;1;1;1;59;0;1;0;26;22;4;4.06;0;.846;53
106;17;17;3;3;177;0;3;0;82;70;12;4.06;0;.854;57
108;1;1;3;3;180;2;1;0;89;83;6;2.00;1;.933;78
157;52;21;1;1;65;0;0;1;53;49;4;3.69;0;.925;93
188;27;27;4;4;239;1;2;1;147;132;15;3.76;0;.898;77
195;60;18;1;1;65;1;0;0;28;26;2;1.85;0;.929;84
220;21;21;3;2;143;1;1;0;91;80;11;4.61;0;.879;63
230;44;44;1;1;60;1;0;0;36;34;2;2.00;0;.944;94
274;18;18;4;4;240;2;2;0;120;105;15;3.75;0;.875;63
331;36;36;1;1;60;1;0;0;23;21;2;2.00;0;.913;71
354;11;11;4;4;210;2;1;1;99;82;17;4.85;0;.828;51
383;19;19;5;4;207;0;4;0;132;117;15;4.33;0;.886;62
385;10;10;4;4;240;3;1;0;141;128;13;3.25;0;.908;79
388;6;6;3;3;178;2;1;0;117;105;12;4.03;0;.897;78
408;29;29;4;4;240;3;1;0;154;136;18;4.50;0;.883;73
442;55;9;1;1;58;0;1;0;26;22;4;4.08;0;.846;52
532;35;35;1;1;59;0;1;0;29;28;1;1.01;0;.966;91
543;43;43;1;1;64;1;0;0;39;35;4;3.73;0;.897;91
575;63;63;1;1;60;0;1;0;43;40;3;3.00;0;.930;93
664;41;7;1;1;60;1;0;0;38;35;3;3.00;0;.921;85
674;11;11;4;3;214;0;2;1;117;107;10;2.80;0;.915;75
695;17;17;4;4;240;3;1;0;130;116;14;3.49;0;.892;71
713;57;57;1;1;60;0;1;0;41;38;3;3.00;0;.927;88
731;4;4;4;4;238;1;3;0;171;159;12;3.02;0;.930;92
732;6;6;4;4;240;4;0;0;137;126;11;2.75;0;.920;83
