PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
6;31;31;13;13;741;3;6;3;452;395;57;4.61;1;.874;67
29;37;37;8;8;488;3;4;1;216;195;21;2.58;0;.903;67
72;0;0;17;16;994;9;5;2;565;508;57;3.44;1;.899;75
101;32;22;12;11;636;5;6;0;288;250;38;3.58;1;.868;57
102;59;1;12;11;659;4;7;0;321;283;38;3.46;0;.882;60
106;17;17;7;5;368;5;0;0;189;172;17;2.77;1;.910;73
108;1;1;5;4;256;4;0;0;133;121;12;2.81;0;.910;71
127;16;16;10;10;602;6;3;1;283;254;29;2.89;0;.898;70
157;52;21;12;12;692;3;7;2;388;351;37;3.21;1;.905;67
188;27;27;14;14;848;10;3;1;458;420;38;2.69;0;.917;78
193;45;45;10;9;596;3;5;1;331;301;30;3.02;0;.909;70
195;60;18;12;12;722;10;2;0;335;318;17;1.41;3;.949;82
206;27;27;5;5;304;3;1;1;149;133;16;3.15;0;.893;72
220;21;21;8;4;322;4;1;0;174;157;17;3.16;0;.902;66
230;44;44;8;7;389;5;2;0;159;138;21;3.24;0;.868;54
235;61;16;11;11;669;4;4;3;366;338;28;2.51;1;.923;75
263;57;12;11;11;668;7;3;1;272;250;22;1.98;1;.919;71
268;54;54;6;6;375;4;0;2;161;146;15;2.40;0;.907;65
274;18;18;7;6;371;4;1;1;174;151;23;3.72;0;.868;59
326;51;15;8;6;428;2;4;0;247;223;24;3.36;0;.903;68
330;54;10;10;10;597;6;4;0;327;304;23;2.31;1;.930;78
331;36;36;15;15;875;7;6;2;380;345;35;2.40;2;.908;70
354;11;11;10;9;475;4;5;0;306;263;43;5.43;0;.859;57
383;19;19;11;10;609;7;3;0;332;301;31;3.05;0;.907;72
385;10;10;17;15;856;5;9;1;469;417;52;3.64;1;.889;66
388;6;6;12;10;580;5;5;1;300;262;38;3.93;0;.873;62
396;12;12;9;8;479;3;6;0;308;275;33;4.13;0;.893;66
408;29;29;14;11;748;3;7;1;413;361;52;4.17;0;.874;63
424;44;44;8;8;485;3;4;1;238;217;21;2.59;1;.912;69
442;55;9;11;10;580;4;4;2;292;260;32;3.31;1;.890;64
475;40;31;9;9;548;5;3;1;228;199;29;3.17;0;.873;58
494;53;53;9;9;543;6;2;1;237;217;20;2.21;0;.916;73
501;49;49;12;12;727;8;4;0;375;348;27;2.23;2;.928;77
532;35;35;15;15;901;11;3;1;401;373;28;1.86;2;.930;75
543;43;43;9;9;537;3;5;1;300;266;34;3.79;0;.887;69
546;38;3;9;9;540;1;7;1;250;215;35;3.88;0;.860;55
575;63;63;11;10;608;4;5;1;355;320;35;3.45;0;.901;70
635;61;61;8;8;491;4;2;2;264;243;21;2.56;0;.920;77
657;32;32;6;5;341;2;2;1;158;143;15;2.64;0;.905;69
664;41;7;12;12;729;6;5;1;409;371;38;3.13;0;.907;74
668;31;31;9;6;413;3;3;1;250;228;22;3.19;0;.912;72
673;41;41;6;6;368;2;3;1;210;188;22;3.59;0;.895;71
674;11;11;16;11;731;5;6;0;407;355;52;4.26;0;.872;60
695;17;17;16;16;890;10;6;0;419;378;41;2.76;1;.902;70
698;46;46;7;7;424;3;4;0;214;198;16;2.26;1;.925;76
703;52;52;6;5;339;5;0;0;138;130;8;1.41;1;.942;78
712;44;29;3;3;182;0;2;1;67;57;10;3.28;0;.851;54
713;57;57;8;8;494;6;2;0;245;229;16;1.94;2;.935;79
731;4;4;14;13;791;7;6;0;427;378;49;3.71;1;.885;68
732;6;6;11;9;567;5;2;1;327;293;34;3.60;2;.896;73
734;22;22;15;14;846;6;7;1;472;413;59;4.18;0;.875;65
745;15;15;10;8;548;2;4;3;330;292;38;4.16;0;.885;68
748;18;18;15;15;898;11;4;0;473;431;42;2.81;2;.911;75
774;20;20;10;10;591;6;4;0;295;260;35;3.55;1;.881;66
780;3;3;6;5;324;3;2;0;159;139;20;3.70;0;.874;63
801;9;9;7;7;391;3;4;0;208;187;21;3.22;0;.899;71
808;12;12;18;15;899;6;7;1;594;541;53;3.54;1;.911;74
830;47;47;9;9;489;2;6;1;273;242;31;3.80;0;.886;63
860;60;60;5;5;300;5;0;0;139;133;6;1.20;2;.957;82
866;53;8;8;8;482;6;2;0;228;216;12;1.49;1;.947;84
869;20;20;12;11;670;7;4;0;291;264;27;2.41;0;.907;69
890;15;15;15;14;796;5;7;1;505;450;55;4.14;0;.891;69
911;19;19;11;10;602;6;3;1;316;282;34;3.38;0;.892;67
951;8;8;13;13;743;3;8;1;475;422;53;4.28;0;.888;69
963;26;26;13;12;739;6;4;2;415;371;44;3.57;0;.894;69
967;25;25;18;16;1029;10;6;0;479;424;55;3.21;3;.885;67
978;7;7;9;8;489;3;4;0;290;253;37;4.54;0;.872;62
983;16;16;12;12;732;7;3;2;361;324;37;3.03;0;.898;72
995;4;4;9;8;470;1;6;1;284;251;33;4.21;0;.884;68
999;9;9;16;15;933;8;7;0;494;446;48;3.08;1;.903;73
1001;10;10;6;4;285;0;4;0;142;120;22;4.62;0;.845;52
1058;48;48;10;9;556;4;5;0;295;266;29;3.13;1;.902;70
1068;58;58;9;8;514;2;4;2;228;206;22;2.57;1;.904;71
1082;51;51;7;7;396;1;6;0;251;227;24;3.64;0;.904;71
1129;26;26;9;9;524;6;3;0;260;233;27;3.09;0;.896;69
1155;48;48;11;11;654;4;7;0;321;291;30;2.75;1;.907;70
1189;34;34;15;15;901;11;4;0;438;398;40;2.66;1;.909;68
1202;49;49;7;7;424;5;2;0;226;204;22;3.11;0;.903;72
1207;21;21;16;16;887;4;9;2;510;438;72;4.87;0;.859;60
1223;22;22;9;8;479;3;5;0;270;236;34;4.25;0;.874;64
1230;7;7;13;12;719;7;4;2;390;355;35;2.92;1;.910;77
1231;29;29;7;7;331;2;5;0;197;172;25;4.52;1;.873;62
1234;25;25;5;5;236;2;3;0;122;101;21;5.32;0;.828;49
1238;3;3;16;16;936;9;6;1;477;428;49;3.14;1;.897;71
1251;33;26;10;9;573;5;3;1;327;305;22;2.30;0;.933;76
1333;58;58;10;10;582;6;3;1;308;287;21;2.16;1;.932;80
1364;47;47;5;5;290;3;2;0;149;134;15;3.10;0;.899;68
1388;1;1;17;17;1003;11;5;1;525;476;49;2.93;2;.907;75
1461;39;27;9;9;539;6;2;1;270;245;25;2.78;1;.907;68
1534;63;63;11;9;543;5;3;1;323;296;27;2.98;0;.916;72
1665;8;8;9;7;458;3;4;1;284;253;31;4.05;1;.891;70
1687;42;4;8;8;425;4;4;0;223;202;21;2.96;1;.906;67
1693;56;20;8;8;481;5;3;0;233;212;21;2.62;1;.910;70
1729;43;17;9;8;486;2;5;1;232;210;22;2.72;1;.905;72
1747;45;6;5;5;251;2;3;0;139;120;19;4.54;0;.863;52
1748;57;57;2;2;120;0;1;1;54;47;7;3.49;0;.870;61
2026;50;25;9;9;517;5;4;0;249;224;25;2.90;0;.900;64
2031;33;26;4;4;215;2;2;0;105;89;16;4.46;0;.848;48
2052;62;19;6;6;368;3;1;2;184;169;15;2.44;0;.918;73
2076;55;9;7;6;385;4;2;0;206;185;21;3.27;0;.898;67
2117;39;27;7;7;422;4;1;2;195;180;15;2.13;1;.923;71
2135;0;0;3;3;156;1;2;0;97;84;13;4.99;0;.866;62
2157;33;33;1;1;60;0;1;0;31;25;6;6.00;0;.806;40
2176;35;35;5;5;299;2;3;0;134;116;18;3.61;0;.866;54
2179;42;42;10;9;592;4;5;0;322;293;29;2.94;1;.910;69
2204;45;45;2;2;119;1;1;0;59;52;7;3.53;0;.881;64
2211;59;59;8;6;364;3;2;1;201;177;24;3.95;1;.881;60
2231;37;37;5;4;262;4;0;0;113;106;7;1.60;0;.938;75
2232;56;56;6;6;369;4;1;1;197;182;15;2.44;0;.924;78
2247;47;47;9;6;421;3;1;2;255;234;21;2.99;1;.918;73
2248;39;39;3;2;141;1;1;0;76;70;6;2.55;1;.921;67
2249;34;34;6;5;306;2;3;0;136;122;14;2.74;0;.897;65
2268;51;51;2;2;75;1;1;0;24;20;4;3.17;1;.833;54
2279;49;49;2;1;93;0;1;0;49;38;11;7.05;0;.776;36
2281;46;46;6;6;359;5;1;0;176;162;14;2.34;0;.920;75
2296;40;40;6;6;369;3;1;2;192;182;10;1.62;3;.948;88
2360;37;37;5;5;286;1;2;2;161;147;14;2.93;0;.913;74
2367;36;36;7;6;405;4;2;0;188;174;14;2.07;1;.926;72
2374;62;62;10;10;605;7;2;1;268;246;22;2.18;2;.918;71
2377;50;50;6;5;323;0;4;1;201;181;20;3.71;0;.900;68
2398;43;43;1;1;59;0;1;0;41;34;7;7.10;0;.829;46
2426;46;46;5;5;302;3;1;1;122;110;12;2.38;1;.902;68
2427;32;32;5;3;171;1;2;0;85;73;12;4.20;0;.859;51
2443;38;38;7;7;418;3;4;0;224;198;26;3.73;1;.884;66
2476;67;67;14;14;799;9;4;1;425;387;38;2.85;1;.911;71
2505;76;76;9;7;478;3;4;0;268;239;29;3.63;0;.892;65
2510;69;69;11;10;606;6;3;1;307;277;30;2.97;0;.902;67
2516;71;71;15;13;790;5;7;1;415;371;44;3.34;1;.894;64
2522;77;77;11;11;665;5;5;1;358;325;33;2.97;2;.908;72
2531;68;68;4;3;200;3;1;0;107;97;10;2.99;0;.907;68
2532;66;66;5;5;302;0;4;1;162;143;19;3.77;0;.883;61
2541;65;65;17;17;1029;9;6;2;496;440;56;3.26;0;.887;61
2593;81;81;13;12;727;8;4;0;340;308;32;2.64;0;.906;66
2600;81;81;7;7;421;3;4;0;232;206;26;3.70;0;.888;63
2616;83;83;16;16;963;9;6;1;530;484;46;2.86;0;.913;73
2650;73;73;8;5;338;1;3;1;186;166;20;3.55;0;.892;59
2655;74;74;13;13;760;8;5;0;337;299;38;3.00;1;.887;61
2672;85;85;9;7;473;6;1;0;213;194;19;2.41;0;.911;68
2692;68;68;15;15;902;8;4;2;472;433;39;2.59;1;.917;74
2708;74;74;7;6;377;4;2;0;152;135;17;2.70;0;.888;61
2710;66;66;11;11;669;7;2;2;327;300;27;2.42;1;.917;70
2741;73;73;13;13;761;5;7;1;465;412;53;4.17;0;.886;64
2752;77;77;4;4;245;4;0;0;102;93;9;2.20;0;.912;67
2758;67;67;6;4;283;1;3;0;147;131;16;3.39;0;.891;63
2760;82;82;8;8;467;1;5;2;270;238;32;4.11;0;.881;62
2771;82;82;10;9;570;4;5;0;323;290;33;3.47;0;.898;70
2773;75;75;17;16;977;9;6;1;526;479;47;2.89;3;.911;73
2794;64;64;8;8;477;5;3;0;245;227;18;2.26;0;.927;71
2812;65;65;3;3;180;1;2;0;83;73;10;3.33;0;.880;57
2818;80;80;11;11;668;7;4;0;310;277;33;2.96;1;.894;65
2845;69;69;8;8;477;7;1;0;235;212;23;2.89;0;.902;65
2864;76;76;13;13;722;6;7;0;389;337;52;4.32;0;.866;57
2883;78;78;5;4;245;3;1;0;120;114;6;1.47;0;.950;73
2922;64;64;9;9;537;3;6;0;261;233;28;3.13;0;.893;66
2960;78;78;16;16;966;6;7;3;459;406;53;3.29;0;.885;62
2962;80;80;8;8;482;3;4;1;247;220;27;3.36;0;.891;66
2967;83;83;4;4;245;3;1;0;124;111;13;3.18;0;.895;64
2968;71;71;6;4;229;1;3;0;112;90;22;5.75;0;.804;41
2991;96;96;14;14;838;7;5;1;386;342;44;3.15;1;.886;63
3006;103;103;18;16;891;5;9;1;509;450;59;3.97;0;.884;61
3013;85;85;9;9;546;4;4;1;275;247;28;3.07;0;.898;68
3022;88;88;9;8;490;5;3;0;270;240;30;3.67;0;.889;64
3029;98;98;14;14;802;8;6;0;439;392;47;3.52;1;.893;66
3034;104;104;8;8;480;6;1;1;289;269;20;2.50;1;.931;79
3043;102;102;14;13;757;9;1;2;435;389;46;3.64;0;.894;66
3104;94;94;15;15;898;12;3;0;366;332;34;2.27;0;.907;65
3111;90;90;10;8;490;0;7;1;257;219;38;4.65;0;.852;49
3136;88;88;14;14;839;10;4;0;427;385;42;3.00;0;.902;70
3141;105;105;14;14;831;4;8;2;455;398;57;4.12;0;.875;59
3147;87;87;19;16;985;5;7;2;648;578;70;4.26;1;.892;64
3159;97;97;12;12;684;6;5;1;362;313;49;4.29;0;.865;54
3173;85;85;8;8;484;5;3;0;238;213;25;3.10;0;.895;64
3187;84;84;12;10;572;2;7;1;334;291;43;4.51;0;.871;54
3193;91;91;11;10;615;4;6;0;284;249;35;3.41;0;.877;57
3215;91;91;12;11;655;6;4;1;303;273;30;2.75;1;.901;64
3217;90;90;12;12;710;7;5;0;338;291;47;3.97;0;.861;53
3228;92;92;9;9;498;4;5;0;271;240;31;3.73;0;.886;62
3229;101;101;13;12;690;7;5;0;298;249;49;4.26;0;.836;45
3246;96;96;7;6;370;5;2;0;176;158;18;2.91;0;.898;64
3266;86;86;18;17;1032;10;5;1;560;495;65;3.78;0;.884;63
3270;93;93;9;9;535;4;4;1;259;232;27;3.02;0;.896;64
3272;104;104;13;13;788;9;3;1;391;350;41;3.12;1;.895;66
3273;95;95;11;10;605;4;6;0;307;265;42;4.16;0;.863;56
3299;87;87;9;6;342;3;4;1;206;178;28;4.90;0;.864;50
3312;86;86;5;3;175;1;3;0;111;94;17;5.80;0;.847;52
3314;101;101;7;6;387;3;3;0;192;162;30;4.64;0;.844;50
3316;95;95;10;10;595;0;8;2;326;283;43;4.33;1;.868;53
3323;97;97;9;7;456;4;3;0;259;237;22;2.89;0;.915;70
3348;84;84;12;10;639;5;3;2;328;291;37;3.47;0;.887;64
3360;100;100;16;12;802;5;7;0;452;410;42;3.14;0;.907;67
3392;79;79;4;4;239;2;1;1;121;109;12;3.00;0;.901;65
3394;93;93;11;10;618;7;1;2;295;263;32;3.10;0;.892;64
3410;99;99;17;15;883;7;6;1;471;421;50;3.39;1;.894;63
3417;89;89;17;16;993;8;8;0;490;434;56;3.38;1;.886;63
3429;92;92;12;11;701;6;4;1;381;339;42;3.59;0;.890;63
3435;102;102;9;8;518;4;5;0;313;280;33;3.82;0;.895;68
3440;103;103;11;7;489;3;5;0;263;228;35;4.29;0;.867;55
3472;98;98;8;7;459;2;5;0;251;223;28;3.66;0;.888;63
3512;116;116;10;9;585;4;5;0;306;271;35;3.59;0;.886;61
3513;108;108;16;15;914;6;10;0;506;442;64;4.20;0;.874;57
3514;123;123;12;10;670;5;3;2;348;312;36;3.22;0;.897;64
3530;107;107;15;13;833;4;6;2;459;414;45;3.24;1;.902;66
3537;122;122;15;12;835;9;3;0;492;446;46;3.30;0;.907;73
3546;121;121;13;10;615;2;8;0;341;291;50;4.88;0;.853;51
3548;110;110;12;12;719;3;8;1;437;393;44;3.67;1;.899;68
3558;119;119;16;16;911;9;6;0;492;443;49;3.23;2;.900;68
3580;112;112;15;14;877;3;7;4;425;367;58;3.97;0;.864;54
3589;111;111;15;15;825;9;5;0;466;417;49;3.56;1;.895;66
3596;108;108;3;3;180;2;1;0;78;69;9;3.00;0;.885;60
3602;113;113;8;7;438;3;4;0;220;188;32;4.38;0;.855;53
3613;116;116;13;12;677;9;2;1;333;307;26;2.30;1;.922;70
3633;114;114;15;15;905;10;4;1;402;365;37;2.45;1;.908;67
3635;109;109;18;17;1017;10;5;3;506;453;53;3.12;1;.895;65
3663;110;110;8;7;431;3;3;1;241;217;24;3.34;0;.900;68
3676;118;118;13;12;718;8;3;1;322;291;31;2.59;2;.904;65
3692;118;118;12;11;670;7;3;1;316;282;34;3.04;0;.892;64
3712;112;112;6;6;337;1;5;0;129;105;24;4.26;0;.814;43
3716;119;119;5;4;285;3;2;0;144;132;12;2.52;0;.917;68
3737;122;122;9;9;442;3;5;1;289;251;38;5.15;0;.869;57
3751;106;106;14;12;782;7;5;0;367;323;44;3.37;0;.880;60
3754;117;117;15;13;822;5;6;2;477;431;46;3.36;0;.904;67
3801;120;120;15;15;881;4;9;2;532;475;57;3.88;0;.893;64
3857;111;111;10;7;520;6;1;1;234;210;24;2.77;1;.897;66
3870;121;121;15;12;711;6;5;1;382;340;42;3.54;0;.890;62
3882;113;113;12;12;703;7;3;2;332;297;35;2.99;0;.895;66
3887;115;115;10;9;540;3;5;1;317;284;33;3.66;0;.896;67
3898;123;123;8;8;413;5;3;0;203;178;25;3.63;0;.877;60
3901;114;114;6;6;372;4;1;1;161;142;19;3.06;0;.882;65
3906;108;108;7;6;360;4;0;1;180;160;20;3.33;0;.889;62
3907;115;115;12;11;667;7;2;2;370;331;39;3.51;0;.895;67
3909;107;107;8;7;375;4;4;0;229;202;27;4.32;0;.882;61
3913;117;117;8;7;382;4;3;0;219;190;29;4.55;0;.868;56
4750;94;94;5;5;298;2;3;0;150;134;16;3.21;1;.893;65
4810;106;106;4;4;186;1;2;1;87;71;16;5.14;0;.816;40
4873;105;105;8;7;436;5;2;0;225;201;24;3.30;0;.893;59
4903;120;120;7;6;388;2;3;1;209;177;32;4.95;0;.847;48
4930;72;72;8;7;378;2;4;1;184;163;21;3.33;0;.886;59
4931;70;70;14;12;733;8;4;0;310;280;30;2.45;0;.903;63
4962;72;72;12;11;709;5;5;1;323;286;37;3.13;1;.885;60
5082;79;79;6;6;308;1;5;0;174;153;21;4.08;0;.879;55
5140;70;70;6;6;352;2;2;2;153;128;25;4.26;0;.837;43
5171;75;75;3;3;169;1;1;1;96;85;11;3.90;0;.885;62
5200;89;89;3;3;155;2;1;0;102;88;14;5.40;0;.863;52
5260;100;100;9;9;449;3;6;0;243;203;40;5.34;0;.835;43
5261;99;99;6;4;261;1;4;0;145;119;26;5.96;0;.821;47
5262;91;91;1;1;60;1;0;0;33;30;3;3.00;0;.909;76
5322;109;109;5;4;256;2;1;0;140;124;16;3.74;0;.886;60
