PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired;Hand
0;16;16;Mario;Ferraro;;72;209;1998-9-17;King City;ON;Canada;;;0;Left
1;27;27;Mikael;Backlund;;72;207;1989-3-17;Västerås;VäS;Sweden;;;0;Left
2;29;29;Nicklas;Bäckström;;72;203;1987-11-23;Gävle;GäV;Sweden;;;0;Left
3;29;29;Marat;Khusnutdinov;;69;165;2002-7-17;Moscow;MOS;Russia;;;0;Left
4;-1;-1;Shamil;Shmakov;;78;211;1999-7-27;Ufa;BAS;Russia;;;0;Left
5;4;4;Jamie;Benn;Chubbs;74;205;1989-7-18;Victoria;BC;Canada;;;0;Left
6;31;31;Sergei;Bobrovsky;;74;183;1988-9-20;Novokuznetsk;KEM;Russia;;;0;Left
7;60;18;Zach;Bogosian;;74;223;1990-7-15;Massena;NY;The United States;Armenia;;0;Right
8;31;31;Alexander;Nikishin;;76;216;2001-10-2;Oryol;ORY;Russia;;;0;Left
9;8;8;Brent;Burns;;77;229;1985-3-9;Ajax;ON;Canada;;;0;Right
10;9;9;Matvei;Michkov;;70;176;2004-12-9;Kungur;PER;Russia;;;0;Left
11;-1;-1;Timur;Mukhanov;;70;159;2005-6-17;Glazov;UDM;Russia;;;0;Right
12;18;18;John;Carlson;;75;216;1990-1-10;Montague;MA;The United States;;;0;Right
13;55;9;Nikita;Artamonov;;71;200;2005-11-17;Nizhnekamsk;TAT;Russia;;;0;Left
14;-1;-1;Mikhail;Shalagin;;76;194;1999-9-12;Moscow;MOS;Russia;;;0;Left
15;19;19;Zach;Whitecloud;;74;218;1996-11-28;Brandon;MB;Canada;;;0;Right
16;-1;-1;Kiefer;Sherwood;;72;194;1995-3-31;New Albany;OH;The United States;;;0;Right
17;29;29;Ian;Cole;;73;225;1989-2-21;Ann Arbor;MI;The United States;;;0;Left
18;12;12;Logan;Couture;;73;205;1989-3-28;London;ON;Canada;;;0;Left
19;17;17;Sidney;Crosby;Sid the Kid;71;201;1987-8-7;Cole Harbour;NS;Canada;;;0;Left
20;-1;-1;Evgeni;Dadonov;;72;185;1989-3-12;Chelyabinsk;CHE;Russia;;;0;Left
21;40;40;Zac;Dalpe;;74;196;1989-11-1;Paris;ON;Canada;;;0;Right
22;-1;-1;Daniil;Misyul;;75;196;2000-10-20;Minsk;MIN;Russia;Belarus;;0;Left
23;7;7;Drew;Doughty;;73;209;1989-12-8;London;ON;Canada;;;0;Right
24;-1;-1;Ilya;Pautov;;70;170;2006-5-3;Novosibirsk;NOV;Russia;;;0;Left
25;6;6;Matt;Duchene;;73;209;1991-1-16;Dysart;ON;Canada;;;0;Left
26;25;25;Jordan;Eberle;;71;190;1990-5-15;Regina;SK;Canada;;;0;Right
27;18;18;Oliver;Ekman Larsson;;74;192;1991-7-17;Karlskrona;BLE;Sweden;;;0;Left
28;-1;-1;Lars;Eller;;73;207;1989-5-8;Rødovre;COP;Denmark;;;0;Left
29;37;37;Marc-Andre;Fleury;Flower;74;185;1984-11-28;Sorel-Tracy;QC;Canada;;;0;Left
30;-1;-1;Nick;Foligno;;72;209;1987-10-31;Buffalo;NY;The United States;Canada;;0;Left
31;-1;-1;Alexander;Perevalov;;72;194;2004-4-16;Mezhdurechensk;KEM;Russia;;;0;Right
32;-1;-1;Alexander;Plesovskikh;;73;185;2006-8-1;Tyumen;TYU;Russia;;;0;Right
33;34;34;Kirill;Kudryavtsev;;72;201;2004-2-5;Yaroslavl;YAR;Russia;;;0;Left
34;22;22;Claude;Giroux;;71;187;1988-1-12;Hearst;ON;Canada;;;0;Right
35;62;19;Carson;Wetsch;;74;190;2006-5-4;North Vancouver;BC;Canada;;;0;Right
36;57;57;Simon;Lundmark;;74;201;2000-10-8;Stockholm;STO;Sweden;;;0;Right
37;-1;-1;Jacob;Bryson;;69;174;1997-11-18;London;ON;Canada;;;0;Left
38;22;22;Taylor;Hall;;73;209;1991-11-14;Calgary;AB;Canada;;;0;Left
39;-1;-1;Travis;Hamonic;;74;205;1990-8-16;Winnipeg;MB;Canada;;;0;Right
40;-1;-1;Andrei;Krutov;;71;181;2006-4-25;Togliatti;SAM;Russia;;;0;Left
41;22;22;Victor;Hedman;;78;245;1990-12-18;Örnsköldsvik;VäS;Sweden;;;0;Left
42;55;9;Nikita;Nesterenko;;74;183;2001-9-10;Brooklyn;NY;The United States;;;0;Left
43;-1;-1;Adam;Henrique;;72;194;1990-2-6;Brantford;ON;Canada;;;0;Left
44;-1;-1;Håkon;Hänelt;;72;185;2003-6-1;Berlin;BER;Germany;;;0;Left
45;-1;-1;Nate;Smith;;73;198;1998-10-19;Tampa;FL;The United States;;;0;Right
46;22;22;Nils;Lundkvist;;70;190;2000-7-27;Piteå;NOR;Sweden;;;0;Right
47;1;1;Paul;Cotter;;74;212;1999-11-16;Canton;MI;The United States;;;0;Left
48;-1;-1;Jack;Perbix;;73;181;2000-9-13;Elk River;MN;The United States;;;0;Right
49;-1;-1;Marcus;Johansson;MoJo;71;205;1990-10-6;Landskrona;SKå;Sweden;;;0;Left
50;19;19;Erik;Johnson;;76;225;1988-3-21;Bloomington;MN;The United States;;;0;Right
51;-1;-1;Jack;Johnson;;73;227;1987-1-13;Indianapolis;IN;The United States;;;0;Left
