PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning;Ability;Potential
0;0;20;14;8;5;5;6;17;14;16;14;16;16;0;0;16;13;15;17;17;16;6;7;10;13;14;7;15;12;15;7;15;15;17;16;16;0;0;0;0;0;0;0;0;0;0;0;16;11;14;15;12;18;12;15;0;0;2.5;3.0
1;0;8;5;14;20;12;7;11;15;15;17;15;15;0;0;16;15;15;16;15;13;5;14;14;16;16;14;6;15;16;15;14;16;6;15;16;0;0;0;0;0;0;0;0;0;0;0;15;13;14;13;11;17;12;14;0;0;3.0;3.0
2;0;8;5;14;20;12;6;13;14;18;17;17;17;0;0;15;13;15;15;15;13;4;13;13;18;16;14;7;18;12;13;10;13;7;16;17;0;0;0;0;0;0;0;0;0;0;0;15;14;16;12;11;17;13;15;0;0;2.5;2.5
3;0;8;5;20;19;13;7;15;15;15;13;15;14;0;0;14;16;14;15;14;10;6;12;13;14;16;14;6;15;16;14;9;13;7;13;14;0;0;0;0;0;0;0;0;0;0;0;14;13;13;12;10;17;12;14;0;0;2.0;3.0
4;20;0;0;0;0;0;8;0;13;12;11;0;12;14;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;11;14;12;13;11;12;11;12;12;13;0;0;7;0;1;10;10;0;12;13;0.5;1.0
5;0;8;5;20;17;14;10;16;15;15;17;11;15;0;0;15;13;18;14;16;16;9;17;15;16;15;15;6;15;12;13;16;17;8;15;13;0;0;0;0;0;0;0;0;0;0;0;15;13;14;13;15;18;13;15;0;0;3.0;3.0
6;20;0;0;0;0;0;9;0;14;17;12;0;15;15;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;17;16;16;15;14;14;15;16;15;15;0;0;9;0;1;9;11;0;16;15;3.5;3.5
7;0;14;20;5;5;8;12;14;16;16;15;10;16;0;0;12;13;14;13;14;15;10;9;13;12;14;7;16;13;14;6;17;14;13;16;15;0;0;0;0;0;0;0;0;0;0;0;13;11;12;14;13;16;12;14;0;0;2.0;2.0
8;0;20;18;8;5;8;9;13;15;14;14;14;16;0;0;14;15;17;15;16;14;7;6;11;14;15;7;15;13;14;9;14;14;13;15;15;0;0;0;0;0;0;0;0;0;0;0;15;11;12;14;11;18;13;14;0;0;2.0;3.5
9;0;14;20;5;5;8;8;14;14;15;16;13;15;0;0;16;15;15;17;19;17;6;9;15;17;18;9;16;17;13;9;11;15;14;17;13;0;0;0;0;0;0;0;0;0;0;0;16;12;14;14;11;19;13;14;0;0;3.0;3.0
