PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
0;2024;16;0;5;0;3;2;3;0;0;0;0;65;0;15;0;0;7;1;2;7;5704;175;367;0;0
1;2024;27;0;4;0;1;4;1;0;0;0;0;69;0;8;49;27;6;5;7;2;3491;149;431;0;0
2;2024;29;0;5;2;2;2;1;0;0;0;0;61;1;2;31;19;4;2;2;1;2829;0;90;0;0
3;2024;29;9999;5;4;6;4;-6;0;0;1;1;42;0;6;37;20;12;1;3;0;5459;74;300;0;0
3;2024;29;0;5;0;1;0;-4;0;0;0;0;56;0;3;11;8;6;5;4;2;3030;0;819;0;0
5;2024;4;0;7;4;2;4;3;0;0;0;0;64;0;17;9;0;11;4;4;1;6383;17;214;0;0
7;2024;18;0;2;0;0;2;0;0;0;0;0;61;0;0;0;0;1;0;3;1;1976;19;297;0;0
8;2024;31;9999;5;4;10;2;2;0;0;0;1;31;1;6;0;0;13;0;0;9;5277;109;336;0;0
8;2024;31;0;7;1;1;0;-2;0;0;0;1;53;0;14;0;0;10;4;3;4;7808;46;670;0;0
9;2024;8;0;5;1;5;2;0;0;0;0;1;65;1;16;0;0;6;1;7;7;5183;579;128;0;0
10;2024;9;9999;5;3;10;0;6;0;0;1;0;83;0;3;0;0;25;0;3;1;4518;129;441;0;0
10;2024;9;0;7;1;4;2;1;0;0;0;0;68;1;25;0;0;5;4;3;0;6253;139;0;0;0
12;2024;18;0;7;1;2;6;-3;0;0;0;0;64;0;20;0;0;5;4;7;10;7797;769;508;0;0
13;2024;55;1;1;0;1;0;-1;0;0;0;0;60;0;4;0;0;4;1;1;1;552;0;126;0;0
13;2024;9;9999;5;1;3;0;-1;0;0;0;0;67;0;1;0;0;11;1;2;0;3213;168;93;0;0
15;2024;19;0;3;0;0;0;-2;0;0;0;0;62;0;2;0;0;2;3;1;4;2751;63;92;0;0
17;2024;29;0;4;0;1;4;-4;0;0;0;0;51;0;6;0;0;3;1;1;6;3950;0;181;0;0
18;2024;12;0;5;1;0;0;2;0;0;0;0;66;0;6;34;22;8;6;3;2;3776;109;610;0;0
19;2024;17;0;6;4;1;0;2;0;1;0;0;65;1;19;77;43;4;5;4;2;5629;542;272;0;0
23;2024;7;0;7;1;7;6;1;0;3;0;0;70;1;23;0;0;16;3;12;5;8081;1542;709;0;0
25;2024;6;0;7;5;2;2;7;1;1;0;0;69;1;14;9;5;2;7;7;2;5805;1013;86;0;0
26;2024;25;0;4;0;2;2;0;0;0;0;0;57;0;5;0;0;6;0;2;1;2638;139;425;0;0
27;2024;18;0;4;0;2;2;-5;0;1;0;0;46;0;6;0;0;6;5;1;6;4463;28;336;0;0
33;2024;34;1;1;0;1;0;2;0;1;0;0;70;0;0;0;0;2;0;1;0;1004;88;99;0;0
34;2024;22;0;7;3;1;0;0;0;0;0;0;65;0;9;50;22;9;3;2;0;5619;156;390;0;0
35;2024;19;9999;5;0;1;2;-1;0;0;0;0;60;0;0;3;3;9;2;0;2;2645;113;0;0;0
35;2024;19;0;2;0;0;0;0;0;0;0;0;60;0;0;9;2;3;0;1;0;895;140;0;0;0
36;2024;57;1;1;0;0;0;-1;0;0;0;0;66;0;2;0;0;3;0;0;4;1081;88;185;0;0
38;2024;22;0;7;3;1;0;0;0;0;0;0;67;1;16;9;5;12;5;4;5;6071;79;1284;0;0
41;2024;22;0;7;0;5;8;-5;0;0;0;0;58;0;11;0;0;5;3;3;9;7981;812;933;0;0
42;2024;55;1;1;0;0;0;0;0;0;0;0;56;0;3;13;5;0;1;1;0;702;141;0;0;0
46;2024;22;0;6;0;1;2;-3;0;0;0;0;53;0;9;0;0;5;1;4;7;5875;0;331;0;0
46;2024;22;9999;5;3;12;0;-4;0;1;0;1;48;0;3;0;0;19;0;0;2;5685;483;367;0;0
47;2024;1;0;5;0;4;0;0;0;0;0;0;64;0;9;7;4;5;1;5;2;4158;17;616;0;0
47;2024;1;9999;5;7;13;2;10;0;2;2;3;81;0;7;29;16;20;0;9;3;5483;269;579;0;0
50;2024;19;0;2;1;2;0;2;0;0;0;0;68;0;6;0;0;3;0;2;2;2140;36;146;0;0
