PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
0;2024;16;0;22;1;5;2;2;0;0;0;0;61;0;44;0;0;22;6;13;33;19369;0;1779;0;0
1;2024;27;0;19;5;8;4;4;0;0;0;0;69;0;26;260;132;25;20;22;5;17585;775;3325;0;0
2;2024;29;0;18;0;2;8;-11;0;0;0;0;56;0;7;138;64;5;7;9;1;11070;133;167;0;0
3;2024;29;0;18;1;3;2;-11;0;0;0;0;59;0;14;64;34;12;8;4;9;10434;0;2905;0;0
5;2024;4;0;21;5;12;8;2;0;0;0;0;61;1;42;5;2;29;19;7;8;17920;794;16;0;0
7;2024;60;1;11;0;3;2;6;0;0;0;0;64;0;22;0;0;17;7;8;16;12067;211;2229;0;0
8;2024;31;0;19;1;8;2;-2;0;0;0;0;56;0;42;0;0;33;6;14;20;21201;155;1923;0;0
9;2024;8;0;20;0;3;17;-10;0;0;0;0;57;0;34;0;0;17;6;19;27;19483;174;933;1;0
10;2024;9;0;22;8;12;12;6;3;5;0;0;71;2;63;16;7;39;26;9;7;19582;3641;120;0;0
12;2024;18;0;21;5;10;14;8;0;2;0;0;64;1;63;0;0;29;2;23;30;24773;2021;2468;0;0
13;2024;55;1;16;5;7;10;4;0;1;0;0;62;0;23;13;3;18;7;3;4;11770;949;961;0;0
15;2024;19;0;20;1;3;0;-6;0;1;1;0;56;0;19;0;0;8;7;6;31;17017;71;901;0;0
17;2024;29;0;18;0;6;8;-5;0;0;0;0;59;0;31;0;0;20;3;12;30;17578;203;1794;0;0
18;2024;12;0;23;1;7;4;5;0;0;0;0;67;0;36;187;93;20;15;19;16;15394;448;3335;0;0
19;2024;17;0;21;13;12;12;13;0;4;0;0;72;1;51;242;139;21;15;15;6;17256;4898;552;0;0
21;2024;40;1;17;6;4;20;-4;0;0;0;0;61;0;30;135;48;20;3;1;8;10370;1162;309;0;0
23;2024;7;0;20;7;17;12;4;2;2;0;1;65;1;68;0;0;31;5;21;19;24733;2917;3066;0;0
25;2024;6;0;19;10;9;10;7;0;0;0;0;65;1;35;212;119;12;10;12;6;18256;578;298;0;0
26;2024;25;0;21;10;11;8;6;1;0;0;0;64;2;27;0;0;22;7;6;2;16441;621;60;0;0
27;2024;18;0;21;3;10;6;8;0;1;0;1;60;1;36;0;0;26;1;17;10;23157;328;1107;0;0
33;2024;34;1;9;1;3;0;1;0;0;0;0;57;0;19;0;0;11;3;1;4;8348;816;745;0;0
34;2024;22;0;22;6;14;4;-6;0;2;0;0;67;1;46;17;7;15;11;5;4;19961;1939;65;0;0
35;2024;62;1;4;0;0;6;-1;0;0;0;0;57;0;3;12;6;2;0;0;3;1713;0;344;0;0
36;2024;57;1;1;0;0;0;0;0;0;0;0;61;0;1;0;0;1;0;0;2;993;108;90;0;0
38;2024;22;0;22;6;12;6;-3;0;0;0;0;63;1;59;9;4;20;15;16;5;19793;169;944;0;0
41;2024;22;0;22;2;10;4;-5;0;3;0;0;60;0;45;0;0;29;11;21;28;24935;3118;2471;0;0
42;2024;55;1;15;6;4;2;3;0;0;0;0;62;1;30;115;60;12;7;6;6;8290;0;1350;0;0
46;2024;22;0;22;3;5;2;-6;0;0;1;0;56;0;33;0;0;17;5;18;13;20851;117;624;0;0
47;2024;1;0;21;1;3;12;-1;0;0;0;0;58;0;26;35;17;22;6;2;6;8916;79;632;0;0
50;2024;19;0;20;2;5;0;-1;0;0;0;1;58;0;14;0;0;13;5;12;25;15954;200;1101;0;0
52;2024;32;1;17;7;3;4;1;2;1;0;0;64;2;37;0;0;19;8;11;3;14099;1557;0;0;0
53;2024;20;0;21;12;10;6;0;2;1;0;0;68;3;38;235;130;13;7;11;2;20250;897;394;0;0
54;2024;26;0;21;8;11;6;-4;0;5;0;0;72;2;73;1;1;64;14;15;5;18220;3947;186;0;0
55;2024;3;0;21;6;8;6;-5;1;2;0;0;62;3;23;1;1;9;6;1;1;12938;307;0;0;0
56;2024;18;0;21;8;7;6;7;4;2;0;0;65;2;69;0;0;20;1;27;15;23205;3588;1356;0;0
57;2024;31;0;19;7;7;2;3;0;0;0;0;65;2;29;287;167;25;17;9;11;20765;526;1777;0;0
61;2024;1;0;21;3;6;6;5;2;0;0;0;65;0;33;0;0;24;2;8;15;17740;833;682;0;0
63;2024;10;0;19;2;6;12;-19;0;2;0;0;60;0;39;0;0;25;5;10;35;22819;1385;503;0;0
66;2024;62;1;3;0;1;0;0;0;0;0;0;58;0;6;0;0;6;1;3;3;3025;30;263;0;0
67;2024;35;1;14;3;9;6;9;0;4;0;0;71;2;37;0;0;25;3;5;7;12327;3301;1060;0;0
68;2024;52;1;17;0;4;4;-4;0;0;0;0;59;0;14;24;8;22;4;3;5;9443;465;1305;0;0
70;2024;4;0;21;11;13;14;5;1;4;0;0;68;0;51;302;137;24;13;9;4;19498;4016;35;0;0
71;2024;16;0;22;5;18;22;4;3;3;0;0;71;0;48;2;0;37;13;14;8;19223;4604;434;2;1
74;2024;46;1;18;5;7;11;4;1;2;0;0;67;2;41;5;2;16;10;5;7;11891;4594;73;1;1
76;2024;35;1;20;1;6;0;2;0;0;0;0;59;0;17;18;9;21;6;1;7;10808;19;1840;0;0
77;2024;40;1;18;1;6;6;-2;0;2;0;0;61;0;19;13;6;20;7;4;7;10215;1645;397;0;0
79;2024;63;1;11;1;3;0;-5;0;2;0;0;72;0;23;0;0;21;1;7;42;11724;1356;1664;0;0
80;2024;39;1;5;0;2;0;2;0;0;0;0;56;0;3;1;0;5;4;2;4;2627;11;246;0;0
85;2024;9;0;22;3;4;8;-9;1;1;0;0;59;0;37;0;0;28;7;9;6;16504;1417;31;0;0
86;2024;31;0;19;1;6;4;-7;0;0;0;0;56;0;14;155;88;10;1;16;5;14626;68;426;0;0
88;2024;1;0;21;9;14;4;7;4;7;0;0;77;1;68;21;10;53;19;16;5;21274;2997;123;0;0
89;2024;12;0;23;2;5;8;-9;0;1;0;0;61;0;34;0;0;22;6;9;2;16009;1543;44;0;0
