PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
0;16;16;5;0;3;3;2;0;0;0;0;0;0;7;1;2;7;65;55;75;15;5704;175;367;106.7;4.4;2.5;29.7;30.9;64;83;43.5;-7.0;53;61;46.5;-4.5;0;0;0
1;27;27;4;0;1;1;4;0;0;0;0;0;0;6;5;7;2;69;50;78;8;3491;149;431;101.4;4.1;3.1;41.2;36.1;52;51;50.5;-0.5;47;45;51.1;0.9;0;49;27
2;29;29;5;2;2;1;2;0;0;0;0;0;0;4;2;2;1;61;55;62;2;2829;0;90;105.1;5.1;3.8;34.4;39.4;42;46;47.7;-8.1;35;35;50.0;-4.8;1;31;19
3;29;29;5;0;1;-4;0;0;0;0;0;0;0;6;5;4;2;56;51;61;3;3030;0;819;92.4;1.2;5.9;21.4;45.1;29;45;39.2;-17.9;23;40;36.5;-20.7;0;11;8
5;4;4;7;4;2;3;4;0;0;0;0;0;0;11;4;4;1;64;61;64;17;6383;17;214;104.4;4.5;2.8;39.5;40.0;96;91;51.3;-1.4;76;76;50.0;-2.6;0;9;0
8;31;31;7;1;1;-2;0;0;0;0;1;0;0;10;4;3;4;53;53;57;14;7808;46;670;97.2;3.2;4.6;36.0;39.2;99;116;46.0;6.5;86;96;47.3;6.9;0;0;0
9;8;8;5;1;5;0;2;0;0;0;1;0;0;6;1;7;7;65;62;70;16;5183;579;128;97.9;4.9;5.6;32.6;32.6;62;74;45.6;2.5;52;54;49.1;6.6;1;0;0
10;9;9;7;1;4;1;2;0;0;0;0;0;0;5;4;3;0;68;67;53;25;6253;139;0;97.8;4.0;3.5;46.1;31.7;110;85;56.4;5.1;87;65;57.2;6.5;1;0;0
12;18;18;7;1;2;-3;6;0;0;0;0;0;0;5;4;7;10;64;56;72;20;7797;769;508;96.5;2.3;3.7;27.2;30.9;94;100;48.5;-2.9;70;78;47.3;-5.5;0;0;0
13;55;9;1;0;1;-1;0;0;0;0;0;0;0;4;1;1;1;60;55;63;4;552;0;126;81.0;6.5;13.0;45.6;39.1;9;6;60.0;-9.6;7;6;53.8;-14.6;0;0;0
15;19;19;3;0;0;-2;0;0;0;0;0;0;0;2;3;1;4;62;46;74;2;2751;63;92;92.3;0.0;2.6;20.9;34.0;25;42;37.3;-10.1;19;31;38.0;-8.1;0;0;0
17;29;29;4;0;1;-4;4;0;0;0;0;0;0;3;1;1;6;51;51;55;6;3950;0;181;93.9;2.7;6.4;30.1;41.9;59;60;49.6;-1.0;41;51;44.6;-7.1;0;0;0
18;12;12;5;1;0;2;0;0;0;0;0;0;0;8;6;3;2;66;49;75;6;3776;109;610;103.5;4.8;2.9;35.3;28.6;49;47;51.0;5.0;39;35;52.7;4.4;0;34;22
19;17;17;6;4;1;2;0;0;1;0;0;0;0;4;5;4;2;65;59;64;19;5629;542;272;99.8;4.5;3.2;42.8;30.1;85;67;55.9;-3.1;75;55;57.7;-2.6;1;77;43
23;7;7;7;1;7;1;6;0;3;0;0;0;0;16;3;12;5;70;58;81;23;8081;1542;709;99.9;3.6;3.1;35.6;30.7;128;85;60.1;0.5;95;73;56.5;0.3;1;0;0
25;6;6;7;5;2;7;2;1;1;0;0;0;0;2;7;7;2;69;63;67;14;5805;1013;86;107.2;6.8;2.5;45.9;32.2;107;80;57.2;3.6;83;60;58.0;6.2;1;9;5
26;25;25;4;0;2;0;2;0;0;0;0;0;0;6;0;2;1;57;57;61;5;2638;139;425;103.0;5.5;5.5;39.6;50.5;44;48;47.8;-5.6;30;40;42.9;-10.8;0;0;0
