League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2024-8-14;15;13;17;15;Prospect Tournament;1;0;0;6380
0;2024-8-14;21;17;1;21;Prospect Tournament;1;0;0;6382
0;2024-8-14;4;16;18;15;Prospect Tournament;1;0;0;6365
0;2024-8-14;0;14;12;17;Prospect Tournament;1;0;0;6335
0;2024-8-14;26;18;8;13;Prospect Tournament;1;0;0;6336
0;2024-8-14;3;17;22;19;Prospect Tournament;1;0;0;6381
0;2024-8-14;16;17;19;12;Prospect Tournament;1;0;0;6367
0;2024-8-14;6;15;7;16;Prospect Tournament;1;0;0;6351
0;2024-8-14;27;18;10;13;Prospect Tournament;1;0;0;6352
0;2024-8-14;29;14;31;15;Prospect Tournament;1;0;0;6337
0;2024-8-14;9;15;25;10;Prospect Tournament;1;0;0;6350
0;2024-8-14;11;9;20;8;Prospect Tournament;1;0;0;6366
0;2024-8-15;3;9;21;13;Prospect Tournament;1;0;0;6385
0;2024-8-15;26;13;29;9;Prospect Tournament;1;0;0;6340
0;2024-8-15;17;15;1;16;Prospect Tournament;1;1;0;6384
0;2024-8-15;15;19;22;12;Prospect Tournament;1;0;0;6383
0;2024-8-15;18;18;19;15;Prospect Tournament;1;0;0;6369
0;2024-8-15;11;9;16;15;Prospect Tournament;1;0;0;6370
0;2024-8-15;25;15;10;18;Prospect Tournament;1;0;0;6354
0;2024-8-15;6;15;27;16;Prospect Tournament;1;0;0;6355
0;2024-8-15;0;18;8;16;Prospect Tournament;1;0;0;6338
0;2024-8-15;12;12;31;14;Prospect Tournament;1;0;0;6339
0;2024-8-15;4;17;20;7;Prospect Tournament;1;0;0;6368
0;2024-8-15;9;15;7;10;Prospect Tournament;1;0;0;6353
0;2024-8-16;18;15;11;11;Prospect Tournament;1;0;0;6373
0;2024-8-16;20;18;16;13;Prospect Tournament;1;0;0;6372
0;2024-8-16;22;10;21;13;Prospect Tournament;1;0;0;6387
0;2024-8-16;15;20;1;19;Prospect Tournament;1;0;0;6386
0;2024-8-16;4;11;19;16;Prospect Tournament;1;0;0;6371
0;2024-8-16;7;14;27;11;Prospect Tournament;1;0;0;6357
0;2024-8-16;17;16;3;13;Prospect Tournament;1;0;0;6388
0;2024-8-16;8;15;29;14;Prospect Tournament;1;0;0;6342
0;2024-8-16;12;11;26;13;Prospect Tournament;1;0;0;6343
0;2024-8-16;9;14;10;11;Prospect Tournament;1;0;0;6356
0;2024-8-16;0;11;31;14;Prospect Tournament;1;0;0;6341
0;2024-8-16;25;15;6;18;Prospect Tournament;1;0;0;6358
0;2024-8-17;7;15;25;12;Prospect Tournament;1;0;0;6361
0;2024-8-17;10;10;6;12;Prospect Tournament;1;0;0;6360
0;2024-8-17;19;10;11;14;Prospect Tournament;1;0;0;6375
0;2024-8-17;4;14;16;17;Prospect Tournament;1;0;0;6374
0;2024-8-17;9;17;27;11;Prospect Tournament;1;0;0;6359
0;2024-8-17;0;19;29;20;Prospect Tournament;1;1;0;6344
0;2024-8-17;31;21;26;17;Prospect Tournament;1;0;0;6345
