StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;1;11;20;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;15;17;13;15;17;13;14;15;14;15;10;14;15;14;0;;13;15
1;1;15;20;20;1;Standard;Physical;Aggressive;Conservative;Prefers Veterans;Very Conservative;Ruthless;13;16;16;14;17;14;16;16;13;14;14;14;16;15;0;;15;13
2;5;16;20;20;1;Standard;Balanced;Passive;Conservative;Prefers Veterans;Conservative;Ruthless;16;16;16;15;16;15;15;16;15;16;10;16;16;17;0;;16;14
3;1;16;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;16;16;14;15;15;16;15;13;13;14;16;13;0;;15;13
4;1;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;15;12;15;15;15;14;11;11;10;10;12;14;0;;15;13
5;1;10;20;17;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;14;16;11;13;16;16;15;12;13;10;14;17;16;0;;15;13
6;1;10;20;19;1;Defensive;Balanced;Balanced;Aggressive;Balanced;Balanced;Loyal;11;16;14;15;16;14;14;16;9;12;12;10;15;15;0;;12;15
7;1;12;20;19;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;15;13;14;14;15;15;15;13;10;14;15;14;0;;14;12
8;5;15;20;20;1;Defensive;Balanced;Passive;Balanced;Prefers Veterans;Conservative;Very Loyal;17;16;15;14;17;14;17;15;16;17;10;16;16;16;0;;14;13
9;1;14;20;20;1;Defensive;Balanced;Balanced;Aggressive;Prefers Veterans;Conservative;Very Ruthless;16;16;16;14;17;15;17;16;17;17;10;16;16;16;0;;15;14
10;1;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;11;16;13;14;15;12;15;11;8;10;11;14;14;0;;14;12
11;5;15;20;20;1;Standard;Balanced;Aggressive;Balanced;Prefers Veterans;Conservative;Ruthless;16;16;16;14;16;17;16;17;16;17;10;17;18;17;0;;16;14
12;20;20;20;17;1;Defensive;Physical;Aggressive;Aggressive;Prefers Veterans;Conservative;Balanced;11;16;15;11;18;12;15;18;16;17;14;17;15;16;0;;15;11
13;1;10;20;15;1;Defensive;Balanced;Balanced;Aggressive;Prefers Prospects;Very Innovative;Ruthless;14;15;15;16;17;13;17;15;12;13;9;8;15;15;0;;14;12
14;1;19;20;20;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;12;8;13;13;10;12;10;10;11;10;10;10;0;;12;12
15;15;20;15;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;12;9;10;8;12;10;13;15;15;16;15;9;9;0;;18;16
16;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;12;10;10;10;0;;10;10
17;20;20;13;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;11;9;11;12;12;12;16;14;16;14;9;10;0;;16;14
18;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;14;9;6;14;10;10;7;10;10;9;10;10;10;0;;9;14
19;20;20;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;8;12;10;12;13;8;12;15;14;15;14;9;11;0;;15;13
20;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
21;20;15;5;5;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
22;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
23;19;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;11;8;11;12;9;12;12;16;15;16;16;8;8;0;;16;13
24;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
25;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
26;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
