TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
0;19;77;74;668;666;49.8;173;388;174;167;0;6.47;45;14;0;56;12;2;170184;190131;21273;17284;8;6;100
1;21;98;63;795;660;45.3;212;548;219;153;0;6.33;51;15;0;58;16;0;216483;187771;19680;18777;10;7;100
3;21;76;69;694;636;55.7;253;415;214;196;0;5.52;67;15;0;47;7;0;147555;252089;21079;18006;1;6;94
4;21;72;83;699;712;47.3;235;519;196;203;0;5.90;57;9;2;55;15;1;233070;155276;19422;17252;6;1;97
6;19;85;73;628;628;56.3;189;289;187;187;0;5.47;45;11;2;49;12;3;221508;129873;18459;18553;5;5;98
7;20;67;73;657;681;49.0;178;445;218;191;0;6.15;41;6;0;58;17;1;221919;144593;18493;18074;5;4;97
8;20;69;86;624;761;53.0;223;396;208;181;0;6.70;45;7;2;55;12;0;129998;243586;18571;18737;0;6;91
9;22;65;71;767;704;55.1;230;451;230;194;0;4.95;54;11;1;52;10;0;177008;214179;17700;17848;1;3;95
10;19;44;77;512;614;51.5;228;333;204;149;0;6.47;42;5;1;49;8;1;211993;145554;19272;18194;3;3;96
11;20;75;97;652;715;48.0;193;442;177;170;0;6.40;54;10;3;58;12;0;194626;158800;17693;17644;1;2;93
12;23;70;87;653;903;50.7;372;460;249;202;0;6.52;81;16;2;66;12;2;244935;181066;18841;18106;11;5;100
15;22;68;94;728;836;48.3;287;488;227;197;0;6.36;65;15;0;55;15;1;161123;216487;16112;18040;0;4;91
16;22;85;66;738;644;50.7;263;454;226;171;0;5.59;54;10;1;50;8;3;240656;164886;18512;18320;13;2;100
17;21;93;59;815;609;49.2;238;407;245;179;0;6.57;69;8;2;64;10;0;180065;198615;18006;18055;4;6;97
18;21;90;66;696;648;45.0;192;445;243;144;0;7.10;55;12;0;57;11;1;201738;184745;18339;18474;2;4;96
19;20;78;66;609;649;45.3;265;377;225;165;0;5.85;51;14;0;58;7;2;224425;103849;17263;14835;1;1;96
20;21;86;62;708;586;51.8;239;499;205;184;0;5.43;60;12;1;50;6;3;205862;158360;17155;17595;6;4;98
21;20;83;91;701;686;49.0;239;417;212;177;0;6.40;61;11;2;54;18;1;170000;182173;17000;18217;10;5;100
22;22;80;94;758;743;48.3;233;408;239;184;0;5.64;54;10;1;54;12;3;214510;185937;17875;18593;0;6;93
25;21;95;78;693;603;47.4;234;496;231;167;0;7.00;60;12;2;65;16;2;145622;210357;16180;17529;2;4;95
26;21;74;74;659;678;50.7;238;565;224;207;0;6.19;59;12;1;56;11;2;93747;229620;13392;16401;0;1;87
27;19;70;55;619;608;51.6;167;491;220;179;0;6.84;55;18;1;57;9;1;185680;154917;16880;19364;0;4;88
29;18;52;80;581;613;49.4;202;417;159;123;0;8.39;59;13;2;67;12;1;157500;162424;17500;18047;9;4;100
31;19;70;84;636;707;53.3;192;412;221;140;0;5.63;48;13;3;42;11;2;60435;255354;12087;18239;0;5;75
32;19;47;66;597;532;51.7;233;447;135;129;0;9.79;64;10;3;73;11;1;45506;51408;4550;5712;0;0;74
33;17;46;53;474;590;47.9;262;352;129;133;0;13.12;80;13;3;87;12;0;53289;58591;6661;6510;0;0;43
34;20;52;55;649;575;49.4;242;478;140;163;0;13.25;84;10;0;89;12;1;99316;39560;8276;4945;0;0;69
35;20;69;47;645;536;50.6;250;351;128;155;0;8.30;83;13;0;71;8;1;69501;57096;6950;5709;0;0;62
36;21;49;49;578;568;51.9;317;527;165;176;0;9.62;76;12;0;67;14;3;77952;60517;7795;5501;0;0;40
37;17;55;43;575;491;47.3;224;355;129;137;0;10.82;64;9;2;67;11;1;56527;53237;7065;5915;0;0;74
38;18;47;68;542;545;50.3;292;371;126;127;0;13.83;88;11;2;81;13;2;30637;73422;3829;7342;0;0;66
39;21;66;56;687;654;47.5;310;415;166;186;0;10.57;99;19;1;76;12;3;72736;83727;9092;6440;1;0;91
40;18;62;46;589;498;49.0;263;447;119;116;0;9.50;54;5;2;65;9;4;38108;44832;3810;5604;0;0;51
41;18;51;61;500;620;54.1;281;333;129;127;0;11.89;74;12;1;82;10;2;39375;59044;4921;5904;0;0;72
42;20;59;54;611;618;47.2;307;416;142;155;0;10.00;73;13;3;81;10;2;78254;63379;7825;6337;0;0;72
43;18;43;66;536;576;51.6;255;308;136;117;0;11.33;73;8;2;70;8;2;41502;56137;4611;6237;0;0;53
44;19;68;64;632;514;51.0;236;400;115;117;0;13.53;77;20;2;78;17;1;43020;55638;4302;6182;0;0;77
45;18;53;62;504;584;43.8;304;413;130;121;0;11.39;74;14;1;79;13;3;73309;44942;7330;5617;0;0;76
46;18;55;43;622;513;53.8;261;440;142;167;0;12.39;77;5;2;66;3;2;53683;65464;6710;6546;0;0;44
47;20;56;68;515;678;49.9;320;399;106;127;0;8.05;65;9;2;66;7;1;62273;61791;7784;5149;0;0;78
48;20;48;59;642;616;51.4;298;463;154;145;0;12.05;67;10;0;75;10;0;37109;62463;3710;6246;0;0;44
49;19;60;50;587;602;48.9;280;439;130;158;0;9.47;61;12;3;65;8;1;87035;38493;7252;5499;0;0;46
50;18;41;56;564;585;51.4;258;369;134;153;0;9.61;66;8;2;65;16;0;43005;86861;6143;7896;0;0;64
51;18;38;66;414;632;48.4;237;391;134;124;0;9.06;63;5;2;61;10;0;30477;54367;3386;6040;0;0;88
52;17;45;45;486;526;45.7;228;341;113;98;0;9.94;59;5;0;53;9;2;21319;49546;2664;5505;0;0;82
53;19;51;39;591;533;48.8;241;371;143;128;0;10.58;75;9;2;70;5;4;61837;58321;6183;6480;0;0;71
54;20;54;49;587;615;53.4;309;380;147;162;0;9.25;78;9;1;74;12;2;70156;51778;5396;7396;0;0;79
55;16;65;54;539;499;51.0;218;299;129;124;0;8.50;63;9;0;62;12;3;42697;39739;4744;5677;0;0;57
56;18;59;55;502;573;48.1;234;324;128;133;0;10.39;60;12;1;64;9;1;54715;49013;5471;6126;0;0;36
57;21;62;47;650;573;50.2;239;490;132;142;0;9.29;82;9;5;81;9;2;42133;75232;5266;5787;0;0;75
58;18;42;45;479;538;47.3;262;364;135;115;0;10.33;72;4;1;78;8;3;55472;62881;7924;5716;0;0;61
59;17;49;63;513;523;51.8;267;348;135;158;0;10.18;60;14;2;63;19;0;64281;54655;6428;7807;0;1;79
60;17;63;24;631;475;51.9;212;352;103;126;0;11.29;73;11;0;77;6;5;84076;57952;10509;6439;0;0;63
61;22;56;63;682;750;52.5;352;459;170;169;0;9.77;87;16;3;90;11;0;91478;64421;7623;6442;0;0;73
62;19;63;44;709;551;50.7;268;509;133;133;0;11.47;78;12;2;75;8;3;57249;40576;4770;5796;0;0;90
63;19;48;62;529;678;50.6;333;311;103;107;0;12.47;82;10;3;80;14;3;55134;58078;6891;5279;0;0;69
64;17;53;48;487;508;48.3;234;413;115;130;0;6.71;46;7;2;54;5;0;11000;22506;1000;3751;11;1;100
65;20;82;68;693;581;48.7;271;517;134;136;0;9.70;77;14;1;73;11;0;8000;39985;1000;3332;8;3;100
66;16;55;48;502;491;53.4;260;423;110;88;0;9.63;57;10;1;65;10;0;16385;31812;2730;3181;0;3;46
67;18;57;56;579;574;46.1;307;427;135;128;0;10.89;65;14;1;70;12;3;53326;12171;4102;2434;1;2;93
68;18;59;50;550;580;52.0;279;383;111;124;0;10.89;68;15;0;67;10;3;23562;42525;3366;3865;7;2;100
69;18;75;55;650;544;50.0;266;390;116;128;0;7.50;60;16;1;59;12;2;26954;22864;2450;3266;0;4;40
70;18;80;55;618;463;52.6;234;340;123;127;0;8.50;71;18;2;54;8;0;50806;44490;6350;4449;0;1;66
71;17;54;67;518;528;53.2;234;287;103;95;0;7.53;61;10;2;51;13;2;30950;51747;7737;3980;0;2;79
72;18;50;58;519;507;47.7;248;416;119;78;0;7.56;75;14;3;54;9;1;57756;34006;4813;5667;0;0;43
73;18;40;73;500;651;49.7;292;360;116;119;0;9.56;60;12;0;69;18;0;54986;28942;5498;3617;0;2;34
74;19;71;56;646;490;55.2;213;377;125;112;0;10.74;66;12;2;58;8;2;28839;28926;2621;3615;0;2;57
75;19;54;60;555;624;45.5;346;512;97;139;0;10.95;72;9;1;79;15;1;33495;51733;3721;5173;0;0;68
76;20;68;82;567;658;48.6;315;438;126;91;0;10.20;67;20;1;84;18;0;52590;30709;4780;3412;0;3;79
77;15;48;44;409;462;48.2;257;401;110;117;0;9.47;59;10;0;55;10;1;41767;35724;4640;5954;0;0;69
78;20;66;62;646;582;50.8;303;412;131;128;0;7.70;61;7;1;67;13;0;31225;37953;2838;4217;0;2;52
79;17;62;54;476;510;49.3;281;348;101;92;0;9.29;59;13;0;59;11;2;19467;52838;2781;5283;7;0;100
80;19;58;60;635;557;50.2;273;466;119;130;0;10.37;71;12;2;71;15;3;35131;40289;3903;4028;0;1;65
81;19;61;60;628;574;53.3;304;397;144;111;0;10.26;77;19;2;77;15;1;62628;27624;7828;2511;0;5;48
82;17;44;66;462;594;51.1;278;393;105;94;0;11.53;67;4;3;73;18;1;3600;54317;600;4937;6;0;100
83;20;68;60;621;655;47.1;355;412;111;123;0;9.45;74;14;0;64;12;1;49662;35270;4966;3527;0;4;61
84;20;55;80;558;662;50.2;291;480;132;119;0;9.65;83;12;0;83;17;0;68140;38381;8517;3198;0;3;47
85;17;55;53;489;513;49.4;247;409;113;111;0;11.76;68;14;1;78;11;3;39302;34759;3572;5793;0;0;55
86;20;81;83;636;672;50.4;337;514;124;125;0;12.15;75;17;0;74;19;4;13000;24497;1000;3499;13;2;100
87;22;77;98;639;854;51.9;379;426;120;116;0;10.36;82;10;2;96;28;2;46281;29674;3560;3297;0;2;59
88;22;84;75;655;700;50.5;346;401;127;109;0;10.59;84;21;1;88;12;1;32570;42728;3257;3560;10;1;100
89;19;63;71;631;593;49.9;301;430;112;123;0;9.84;75;15;2;68;19;2;46363;25601;4214;3200;0;1;75
90;20;66;86;670;596;47.9;292;369;130;127;0;9.70;77;15;3;73;23;0;27895;40503;3486;3375;0;3;57
91;19;55;60;640;533;49.5;258;450;130;115;0;8.16;69;10;1;71;17;4;43660;31814;4851;3181;0;3;49
92;20;79;75;623;654;50.5;299;419;126;123;0;9.80;66;12;1;75;19;6;20364;39035;2262;3548;0;2;65
93;19;81;60;711;555;51.7;300;424;110;133;0;8.37;63;22;5;61;8;1;25247;32867;2524;3651;0;1;58
94;20;80;52;658;518;46.3;284;322;125;78;0;9.10;88;20;1;71;12;1;42933;32080;3903;3564;0;2;81
95;20;61;87;556;635;50.3;332;374;117;122;0;9.40;75;16;5;73;16;1;25350;42380;3168;3531;0;1;57
96;20;68;63;635;563;53.0;278;357;126;97;0;10.70;83;16;2;77;17;1;23034;51183;3290;3937;0;3;62
97;19;75;75;586;625;52.1;291;375;97;102;0;12.21;82;22;2;88;19;3;45005;32828;4091;4103;0;2;88
98;21;72;77;601;692;47.0;343;493;124;116;0;15.00;74;16;2;74;14;0;62298;34253;5663;3425;0;1;84
99;19;68;76;561;616;47.6;292;405;105;104;0;11.00;66;15;3;67;15;2;47150;29090;4715;3232;10;0;100
100;21;72;85;585;698;49.2;319;453;129;127;0;11.05;81;19;6;88;18;1;32256;37277;3225;3388;0;1;39
101;21;87;88;815;578;50.8;261;488;123;111;0;11.48;90;15;0;77;18;2;34176;35066;2848;3896;0;1;57
102;21;92;80;667;749;52.5;337;402;103;143;0;12.05;83;26;3;87;13;4;38099;32645;3174;3627;0;2;91
103;23;82;94;714;772;50.2;371;497;148;149;0;9.74;70;15;1;84;19;3;24769;45608;2752;3257;0;3;79
104;21;105;61;685;680;49.2;376;384;120;184;0;13.57;81;18;1;86;13;4;42033;38537;3821;3853;0;1;69
105;21;82;84;698;683;49.0;322;590;134;112;0;8.52;82;17;4;68;16;3;40426;35243;4491;2936;0;1;82
106;19;71;71;641;553;54.0;303;354;110;116;0;10.47;69;9;1;70;12;3;10000;27332;1000;3036;10;1;100
107;20;75;72;636;688;51.0;367;419;122;138;0;8.45;61;11;2;71;15;1;19827;25964;2203;2360;0;4;34
108;21;72;84;617;667;49.1;325;457;132;127;0;9.71;86;19;2;92;25;3;18322;28574;1832;2597;0;3;57
109;21;86;69;721;646;49.3;291;456;147;145;0;8.76;67;17;1;73;14;2;19450;16467;1620;1829;0;3;50
110;19;59;68;591;678;51.1;304;389;109;114;0;7.47;65;7;2;56;11;0;18808;27860;2089;2786;0;3;58
111;22;80;74;620;701;45.4;334;467;142;117;0;7.14;82;16;1;70;15;1;18010;28376;2001;2182;0;2;83
112;20;55;83;632;555;48.4;317;423;134;100;0;10.45;70;13;0;85;16;2;27557;25757;2505;2861;0;2;87
113;19;72;67;626;552;51.6;297;400;137;103;0;8.05;72;19;1;64;9;0;14315;28561;1590;2856;0;4;58
